model,n,rank,r2,rmse_mm
facing,24,4,0.17941706283280423,18.849137891926887
height,24,3,0.12526411239672985,19.461159979095193
location,24,2,0.0893925867596238,19.85618640566022
facing+height,24,6,0.3046811752295343,17.35090948426202
facing+location,24,5,0.26880964959242815,17.792848304176687
height+location,24,4,0.21465669915635388,18.439962018358543
facing+height+location,24,7,0.3940737619891582,16.197206902352733
