heldout_position,train_links,rho_percent,delta_tag_mm,train_rms_mm
ID08,184,7.662913464883303,-157.87962503108545,94.14189930814047
ID02,184,7.746452511622337,-157.7780664182711,96.24841979374649
ID01,184,8.0523571606129,-171.38938535073328,95.4707734089193
ID05,184,7.317683348136761,-146.7498776931585,92.15987741336562
ID03,184,7.11333773540872,-138.39189607457826,91.85093569398593
ID06,184,8.242506894729473,-181.4956015250669,95.50814070045666
ID07,184,7.523300990959925,-150.6654769280035,95.18464351231025
ID04,184,8.157136395988118,-179.41406784181555,94.28609576343419
ID10,184,8.055623193294181,-173.131697185561,96.24749376353556
ID11,184,8.495870918487292,-191.03262305829023,96.05933280747045
ID12,184,8.182968052992123,-177.52223079048133,95.63605927623816
ID13,184,7.679074682688025,-156.01518693079709,96.60136432077914
ID14,184,7.632945999712781,-152.96032010340636,96.40781850845688
ID09,184,8.186076286046173,-178.00927653471214,94.67888185840253
ID15,184,7.645960329086066,-153.74550784741785,96.4478486858105
ID16,184,7.687433410372968,-157.16663442290277,96.74889897464602
ID22,184,7.684915548277971,-158.30208388449512,94.4572491303323
ID19,184,6.849482840148546,-127.59827833669618,89.54965678191711
ID17,184,7.666517010662766,-153.04508803772416,95.85831172776918
ID20,184,7.438644735136535,-148.11485472789704,94.24732232354938
ID18,184,7.835805960977638,-159.6853714099253,95.88556564358785
ID21,184,7.569000086278876,-153.33615091218945,95.48834927919552
ID23,184,7.646698815256769,-157.15332281815915,95.38151466910658
ID24,184,7.336224239255529,-147.63086282632443,90.97509772552478
