mode,position,frames_input,frames_solved,d3_std_mm,residual_rms_median_mm
tagfit_additive_only_no_top12_train,ID01,1201,1201,59.42707949470157,77.21724270631456
tagfit_additive_only_no_top12_train,ID02,1201,1201,68.482811049454,60.1465857219181
tagfit_additive_only_no_top12_train,ID03,1201,1201,85.09780038202273,146.88146080453717
tagfit_additive_only_no_top12_train,ID04,1201,1201,64.55585417515795,81.67189979679829
tagfit_additive_only_no_top12_train,ID05,1200,1200,71.94333087234655,147.3913482131954
tagfit_additive_only_no_top12_train,ID06,1201,1201,70.57944578065329,81.29322861499566
tagfit_additive_only_no_top12_train,ID07,1201,1201,72.00825636901776,86.05986440705333
tagfit_additive_only_no_top12_train,ID08,1201,1201,65.9047692278424,107.60351487264363
tagfit_additive_only_no_top12_train,ID09,1201,1201,58.863350019831216,119.09992500388931
tagfit_additive_only_no_top12_train,ID10,1201,1201,44.0768783359626,61.51003092851482
tagfit_additive_only_no_top12_train,ID11,1201,1201,34.73502888650744,51.988232792080424
tagfit_additive_only_no_top12_train,ID12,1201,1201,42.074503955875635,78.9790490469161
tagfit_additive_only_no_top12_train,ID13,1200,1200,61.066615356747505,45.84141630207774
tagfit_additive_only_no_top12_train,ID14,1201,1201,50.765276724491166,57.48896136680444
tagfit_additive_only_no_top12_train,ID15,1201,1201,61.171191869559316,55.94513128425457
tagfit_additive_only_no_top12_train,ID16,1201,1201,58.45222829844148,52.95882150577394
tagfit_additive_only_no_top12_train,ID17,1199,1199,68.84940751123086,71.99050697713238
tagfit_additive_only_no_top12_train,ID18,1199,1199,46.992680320821485,51.77433787610902
tagfit_additive_only_no_top12_train,ID19,1201,1201,110.27106801325526,177.19933183757936
tagfit_additive_only_no_top12_train,ID20,1201,1201,76.3982635543864,122.76611693965093
tagfit_additive_only_no_top12_train,ID21,1201,1201,56.37035556797756,98.19397955752783
tagfit_additive_only_no_top12_train,ID22,1201,1201,46.8861009434591,117.62793568710671
tagfit_additive_only_no_top12_train,ID23,1201,1201,67.71059503671749,81.63659697583842
tagfit_additive_only_no_top12_train,ID24,1201,1201,64.83365911877573,170.72733560081286
