method,registration,position,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm
sweep_delta_i_only,anchor_only_3d_rigid,ID01,-472.41966985500653,9.677834313748406,-380.7225793075579,-542.215344349341,182.54280058407932,-383.3240609304319,69.79567449433443,-172.8649662703309,2.6014816228740187,69.84413994569077,172.8649662703309,186.44168109195937
sweep_delta_i_only,anchor_only_3d_rigid,ID02,-521.3899280548478,1037.3301537431325,-232.65828715989142,-543.22998,1105.589,-259.92136,21.84005194515214,-68.2588462568674,27.263072840108578,34.932263162469305,68.2588462568674,76.67811357858689
sweep_delta_i_only,anchor_only_3d_rigid,ID03,-557.7900361591885,1837.2884203831795,-281.56216656757556,-554.00287,1625.56145,-256.2951,-3.787166159188473,211.7269703831796,-25.26706656757557,25.5493107626722,211.7269703831796,213.2629298966124
sweep_delta_i_only,anchor_only_3d_rigid,ID04,-263.4661303425918,-85.0075981412295,512.4486787066278,-321.178815,182.16379,479.93382,57.712684657408204,-267.1713881412295,32.51485870662776,66.2417542572463,267.1713881412295,275.260822945055
sweep_delta_i_only,anchor_only_3d_rigid,ID05,-181.75212862813032,1067.8794608311252,531.4244637920622,-184.9818897969324,1103.586616559577,473.7040289339493,3.229761168802071,-35.70715572845165,57.72043485811287,57.810725280151544,35.70715572845165,67.94910542187476
sweep_delta_i_only,anchor_only_3d_rigid,ID06,-197.72562497046567,1860.9802603607689,490.44728671681037,-193.231255,1684.95255,476.52298,-4.494369970465669,176.02771036076888,13.92430671681035,14.631666992357138,176.02771036076888,176.63476581304704
sweep_delta_i_only,anchor_only_3d_rigid,ID07,330.7506341520764,12.609703690391086,93.69345696259893,352.14755,211.565355,53.795866,-21.39691584792365,-198.95565130960892,39.89759096259893,45.273013732487286,198.95565130960892,204.04165496401137
sweep_delta_i_only,anchor_only_3d_rigid,ID08,486.2990072297523,1107.6260392917166,-93.12586177690196,391.90054,1132.2804,-71.53192899999999,94.39846722975233,-24.654360708283548,-21.593932776901966,96.83681401254373,24.654360708283548,99.92600287229617
sweep_delta_i_only,anchor_only_3d_rigid,ID09,426.35891262097084,1587.7913839919402,-48.12718950157159,408.80994,1568.1853500000002,-62.4257885,17.548972620970858,19.606033991939967,14.29859899842841,22.636615766705116,19.606033991939967,29.94683526288793
sweep_delta_i_only,anchor_only_3d_rigid,ID10,91.3806821612302,88.68622136201546,-983.4724539004006,65.499245,238.64973,-938.19342,25.881437161230195,-149.96350863798455,-45.27903390040069,52.153999851251506,149.96350863798455,158.77371830217749
