parameter,estimate,boot_median,ci95_low,ci95_high,bootstrap_n,bootstrap_method
rho_percent,0.11944803510175461,0.11185479100106477,-2.0902266958061944,2.3261536958450777,5000,fixed_design_residual_bootstrap
full_model_rms_mm,43.7752355332265,nan,nan,nan,5000,fixed_design_residual_bootstrap
