dataset,field,value,count,percent
sweep,quality_percent,91,2,0.0035714285714285718
sweep,quality_percent,92,6,0.010714285714285714
sweep,quality_percent,93,6,0.010714285714285714
sweep,quality_percent,94,14,0.025
sweep,quality_percent,95,76,0.1357142857142857
sweep,quality_percent,96,232,0.41428571428571426
sweep,quality_percent,100,55664,99.4
static,quality_percent,62,2,0.0008675133597057395
static,quality_percent,63,2,0.0008675133597057395
static,quality_percent,64,10,0.004337566798528697
static,quality_percent,65,28,0.012145187035880353
static,quality_percent,66,79,0.03426677770837671
static,quality_percent,67,42,0.018217780553820527
static,quality_percent,68,157,0.06809979873690054
static,quality_percent,69,93,0.04033937122631689
static,quality_percent,70,369,0.16005621486570892
static,quality_percent,71,208,0.0902213894093969
static,quality_percent,72,345,0.14964605454924007
static,quality_percent,73,359,0.15571864806718025
static,quality_percent,74,142,0.061593448539107504
static,quality_percent,75,455,0.19735928933305572
static,quality_percent,76,495,0.21470955652717053
static,quality_percent,77,375,0.16265875494482615
static,quality_percent,78,327,0.1418384343118884
static,quality_percent,79,140,0.06072593517940176
static,quality_percent,80,443,0.1921542091748213
static,quality_percent,81,213,0.09239017280866126
static,quality_percent,82,328,0.14227219099174127
static,quality_percent,83,295,0.12795822055659659
static,quality_percent,84,300,0.1301270039558609
static,quality_percent,85,319,0.13836838087306544
static,quality_percent,86,318,0.1379346241932126
static,quality_percent,87,222,0.09629398292733708
static,quality_percent,88,480,0.2082032063293775
static,quality_percent,89,273,0.11841557359983344
static,quality_percent,90,562,0.2437712540773128
static,quality_percent,91,232,0.10063154972586577
static,quality_percent,92,469,0.20343188285099592
static,quality_percent,93,501,0.21731209660628775
static,quality_percent,94,697,0.30232840585745024
static,quality_percent,95,1501,0.6510687764591574
static,quality_percent,96,3171,1.37544243181345
static,quality_percent,100,216592,93.94822680269276
static,quality_flag_percent,0,230544,100.0
roto,quality_percent,75,3,0.0008678144959733408
roto,quality_percent,77,4,0.001157085994631121
roto,quality_percent,78,1,0.00028927149865778023
roto,quality_percent,80,13,0.0037605294825511434
roto,quality_percent,81,18,0.005206886975840044
roto,quality_percent,82,74,0.021406090900675738
roto,quality_percent,83,125,0.03615893733222253
roto,quality_percent,84,226,0.06537535869665834
roto,quality_percent,85,377,0.10905535499398315
roto,quality_percent,86,476,0.1376932333611034
roto,quality_percent,87,396,0.11455151346848097
roto,quality_percent,88,905,0.2617907062852911
roto,quality_percent,89,568,0.16430621123761918
roto,quality_percent,90,1322,0.3824169212255855
roto,quality_percent,91,543,0.15707442377117467
roto,quality_percent,92,1114,0.3222484495047672
roto,quality_percent,93,1124,0.325141164491345
roto,quality_percent,94,1805,0.5221350550772934
roto,quality_percent,95,4461,1.2904401555123577
roto,quality_percent,96,10454,3.0240442469684345
roto,quality_percent,100,321687,93.05488058872535
roto,quality_flag_percent,0,345696,100.0
