position,facing,height,location,headline_err_3d_mm,c_p_median_mm,c_p_mean_mm,abs_c_p_median_mm,per_link_residual_rms_mm,after_common_mode_rms_mm,after_common_mode_max_abs_mm,abs_c_p_rank
ID01,ABEF,low,edge,89.0878819225367,-20.264944109819567,-7.553489439970605,20.264944109819567,78.94975900363754,79.6089839392284,196.95688186351992,15
ID02,ABEF,mid,edge,61.38344543349298,-51.316198664130866,-36.31768691234163,51.316198664130866,59.999533836973036,50.05921526312374,118.32232007527466,5
ID03,ABEF,high,edge,82.99075458911533,-28.430668523826625,39.079921352885464,28.430668523826625,163.24941402710945,172.2811965153148,372.87204069067775,11
ID04,BCGF,low,edge,127.17441499029208,-4.387062558440448,42.21695808977364,4.387062558440448,111.12050101348835,112.8602185702036,266.42086978076463,24
ID05,BCGF,mid,edge,49.32433294804855,-25.73745723532386,37.34644745573209,25.73745723532386,158.3551599251937,166.3165011910729,455.07429563891867,13
ID06,BCGF,high,edge,23.1217811128227,6.280952199246485,26.09395671988389,6.280952199246485,78.39122838546484,76.53002847652505,159.09671615272168,23
ID07,CDHG,low,edge,119.709500063748,-53.14881288582603,-5.784210264535943,53.14881288582603,101.78161409264204,112.11353825650077,208.64330334404133,4
ID08,CDHG,mid,edge,76.836087627734,-39.010085132588074,6.0443709596146675,39.010085132588074,118.10688031800548,126.26402802032914,342.50811090180446,7
ID09,CDHG,high,edge,42.31421972466543,-22.138296635988013,6.696278691541465,22.138296635988013,96.17938650102853,100.18516344109246,218.65169003750145,14
ID10,ADHE,low,edge,67.71534316691792,-9.652983763758698,13.61775452730842,9.652983763758698,63.56509352428348,66.30690112647562,140.00782551839177,21
ID11,ADHE,mid,edge,37.287785927742696,7.508062774782047,11.149066557347993,7.508062774782047,48.50704105765734,47.34858240342301,110.12153948999457,22
ID12,ADHE,high,edge,49.57377509940924,-31.025560513026903,4.898790612532736,31.025560513026903,77.96619459450665,85.70465771400954,201.72435783017454,10
ID13,ABEF,mid,center,49.678578777158606,-19.264452412113997,-27.78335325930138,19.264452412113997,44.67278137143196,36.00436569046642,77.24929657547,17
ID14,BCGF,mid,center,92.2017170132213,-61.729118747116104,-42.56257983751112,61.729118747116104,55.833906305821046,40.904866516297254,71.25376128880305,2
ID15,CDHG,mid,center,45.2084792199897,-28.2045300777404,-39.31474533268204,28.2045300777404,53.5751411241688,38.053691396658174,76.08522055290746,12
ID16,ADHE,mid,center,36.83527472994619,-11.115591547646886,-18.06115542248125,11.115591547646886,35.61133755162005,31.467489327237484,52.53440835010463,20
ID17,ABEF,low,center,48.77925114135247,-76.72457223090237,-48.47487116028944,76.72457223090237,76.98523536919762,66.14347240221885,152.13559846567682,1
ID18,BCGF,low,center,78.65817248388592,-48.403873204047954,-48.6459581804138,48.403873204047954,70.57385674913172,51.13021234350762,94.11958705626114,6
ID19,CDHG,low,center,27.36947919729796,-53.152061172366075,33.27096166159973,53.152061172366075,194.0849838898228,209.835561708175,463.8034140715188,3
ID20,ADHE,low,center,31.63057705117337,-37.95023224609042,0.3000350807007237,37.95023224609042,119.67808916640065,125.64170468456037,269.64945530253647,9
ID21,ABEF,high,center,15.165652889438473,-38.82470226561861,-0.4749590921601339,38.82470226561861,88.79165607645142,96.7183302385325,257.25536257664896,8
ID22,BCGF,high,center,62.095357033606646,-19.453007986350826,4.256746112302125,19.453007986350826,109.71797520318334,112.16981160116276,304.20686522437484,16
ID23,CDHG,high,center,30.56728513500828,-11.36229303844118,8.58204374985533,11.36229303844118,89.49168442198152,91.2846464400454,247.89714835795246,19
ID24,ADHE,high,center,33.71291329182153,-14.44977151967089,41.419677330608636,14.44977151967089,170.80016000436976,174.86709325136212,478.6153017727321,18
