parameter,ci95_low,ci95_high,median
Delta_tag,-295.5893093962089,-33.13055328206969,-159.67011035428342
rho_percent,4.036021922580311,11.585786833829719,7.748292156892012
Delta_A,243.51737014843556,401.90367731272204,316.71144432096224
Delta_B,98.1087551249767,255.58349574087364,168.96472083812432
Delta_C,62.51175491755688,235.72397890889374,139.9021370801591
Delta_D,187.56485289704992,335.2542914856779,254.57540214936824
Delta_E,93.46931822353123,224.27504131403555,156.80073958792974
Delta_F,122.5865051287841,249.71333296799864,182.44423574743564
Delta_G,128.73677840624535,273.80101870757284,190.271013212985
Delta_H,22.54742107990604,118.99633677650604,71.01897301758842
