,A,B,C,D,E,F,G,H
anchor_id_0,1591717.540366525,8327965.946917057,9809957.953042226,2895299.837561111,6816199.046686194,13621228.531187244,14395983.131346436,7315618.931203458
anchor_id_1,6684706.168324684,854261.9172287025,2618743.3054076047,8119639.710589713,11383554.59730341,5805786.082089223,7294893.930924348,12741767.310141351
anchor_id_2,9505835.916834883,3184907.828929137,850209.4930926347,7074334.632451633,14761419.980320653,8437887.125546789,5798526.113549041,12328084.41545168
anchor_id_3,3630271.42340754,9358112.547122896,7078571.793759174,1235215.4987949857,9106529.683139347,14526463.820461074,11598266.383956505,5962163.314440897
anchor_id_4,5649042.23391037,11173232.317550179,13276772.172076177,7261517.42020916,737982.2440533997,6651027.085686659,8349411.189510659,2137320.4642090513
anchor_id_5,11691057.844602255,5830020.89370671,7752114.5497804275,13114279.764938423,6686191.880426761,810809.1338933544,2771734.664890819,8544827.398277137
anchor_id_6,13263898.630320495,7752923.107111539,5769068.947816218,10827556.684410593,9055139.042969175,3246303.17140631,918922.8654236095,6771308.731491597
anchor_id_7,6531406.394582956,12812430.798806194,11369823.438979352,4843787.97182404,2525623.632012344,8877526.12198759,6850240.757531196,384392.066996851
