position,production_err_3d_mm,additive_only_err_3d_mm,additive_no_top12_err_3d_mm,joint_rho_err_3d_mm,additive_only_delta_vs_prod_mm,additive_no_top12_delta_vs_prod_mm,joint_rho_delta_vs_prod_mm,additive_only_improves,additive_no_top12_improves,joint_rho_improves
ID01,140.88341487769927,89.0878819225367,83.7024057026952,88.42340151437975,-51.79553295516257,-57.181009175004064,-52.46001336331952,True,True,True
ID02,61.0016906770336,61.38344543349298,42.492834246573814,62.69417587884684,0.3817547564593795,-18.508856430459787,1.6924852018132412,False,True,False
ID03,172.88412214832513,82.99075458911533,99.03723900174397,57.75144867691643,-89.8933675592098,-73.84688314658116,-115.13267347140871,True,True,True
ID04,278.85157441190233,127.17441499029208,173.47769644023157,157.9557683102368,-151.67715942161027,-105.37387797167077,-120.89580610166553,True,True,True
ID05,51.0149768115004,49.32433294804855,38.56687710124826,21.544374825862118,-1.6906438634518466,-12.448099710252137,-29.47060198563828,True,True,True
ID06,136.5135057109742,23.1217811128227,70.12763998869065,45.2163443610629,-113.39172459815148,-66.38586572228354,-91.29716134991128,True,True,True
ID07,163.63909752458724,119.709500063748,122.50290818281269,114.4572503641704,-43.92959746083925,-41.13618934177455,-49.18184716041684,True,True,True
ID08,68.54231975597159,76.836087627734,95.86970332076986,63.69086634746306,8.293767871762412,27.327383564798268,-4.851453408508533,False,False,True
ID09,34.127332316210044,42.31421972466543,36.417634110099755,72.990206310758,8.186887408455384,2.290301793889711,38.862873994547954,False,False,False
ID10,121.83717872106534,67.71534316691792,84.18485295063807,51.26314123532209,-54.121835554147424,-37.65232577042727,-70.57403748574325,True,True,True
ID11,64.28312997223205,37.287785927742696,33.067266330211886,81.49427974383423,-26.99534404448935,-31.21586364202016,17.21114977160218,True,True,False
ID12,135.08512507961998,49.57377509940924,68.22842358389742,82.85168960199681,-85.51134998021075,-66.85670149572256,-52.233435477623175,True,True,True
ID13,76.83591888493781,49.678578777158606,26.878316410643087,55.28023645120687,-27.157340107779206,-49.957602474294724,-21.555682433730944,True,True,True
ID14,60.54024795294708,92.2017170132213,61.904153664634286,93.16463132661964,31.66146906027422,1.3639057116872095,32.624383373672565,False,False,False
ID15,85.45342395997712,45.2084792199897,31.25809884356749,52.91874545031807,-40.24494473998742,-54.19532511640963,-32.534678509659045,True,True,True
ID16,6.282852265681128,36.83527472994619,14.371358940871161,37.475593437486,30.552422464265064,8.088506675190033,31.19274117180487,False,False,False
ID17,46.42847854865529,48.77925114135247,26.576489492733007,73.98931220630189,2.350772592697176,-19.851989055922285,27.560833657646597,False,True,False
ID18,56.893352900907615,78.65817248388592,72.44384567605734,100.5426414760018,21.764819582978305,15.55049277514972,43.64928857509419,False,False,False
ID19,135.0588134074805,27.36947919729796,54.0703406629536,30.670755008858045,-107.68933421018254,-80.9884727445269,-104.38805839862246,True,True,True
ID20,92.9129399001327,31.63057705117337,22.99798906652746,32.4337752499313,-61.28236284895933,-69.91495083360525,-60.4791646502014,True,True,True
ID21,56.80744956502889,15.165652889438473,31.77266384010755,31.25474712427839,-41.64179667559041,-25.03478572492134,-25.5527024407505,True,True,True
ID22,23.48449965348225,62.095357033606646,26.653160311686143,91.07261216980156,38.6108573801244,3.168660658203894,67.58811251631931,False,False,False
ID23,110.0581027628708,30.56728513500828,74.53166384795136,31.98364718375536,-79.49081762786253,-35.52643891491944,-78.07445557911544,True,True,True
ID24,46.8454339799622,33.71291329182153,19.20708881087279,58.79431164770199,-13.132520688140673,-27.638345169089412,11.948877667739787,True,True,False
