mode,position,final_subset,dropped_links,score,frames_solved,decisions
B1_session_t1.3_g1.5,ID01,ABCDEFGH,,5.332999462307413,1201,[]
B1_session_t1.3_g1.5,ID02,ABCDEFGH,,3.851976043944333,1201,[]
B1_session_t1.3_g1.5,ID03,ABCDEFGH,,8.291064513641484,1201,[]
B1_session_t1.3_g1.5,ID04,ABCDEG,"F,H",2.167314974835488,1201,"[{'step': 1, 'dropped_anchor': 'F', 'score_before': 5.490954922355313, 'score_after': 3.8978038714518064, 'vgdop_y_after_mm': 15.372734286630795, 'normal_cond_after': 3.864418717537303}, {'step': 2, 'dropped_anchor': 'H', 'score_before': 3.8978038714518064, 'score_after': 2.167314974835488, 'vgdop_y_after_mm': 15.503888597017292, 'normal_cond_after': 3.9146737406888588}]"
B1_session_t1.3_g1.5,ID05,BCDEFH,"A,G",3.0673911344397387,1200,"[{'step': 1, 'dropped_anchor': 'A', 'score_before': 7.698243887990997, 'score_after': 4.5202213068196615, 'vgdop_y_after_mm': 13.711411750541995, 'normal_cond_after': 2.84301840199285}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 4.5202213068196615, 'score_after': 3.0673911344397387, 'vgdop_y_after_mm': 19.11784019569596, 'normal_cond_after': 4.921958142341841}]"
B1_session_t1.3_g1.5,ID06,ABDEFGH,C,3.436082832475835,1201,"[{'step': 1, 'dropped_anchor': 'C', 'score_before': 4.783734934771787, 'score_after': 3.436082832475835, 'vgdop_y_after_mm': 14.197877745366046, 'normal_cond_after': 4.180928162834594}]"
B1_session_t1.3_g1.5,ID07,ABCDEFGH,,5.805088090578698,1201,[]
B1_session_t1.3_g1.5,ID08,ACDEFGH,B,4.117217685842032,1201,"[{'step': 1, 'dropped_anchor': 'B', 'score_before': 6.246042002547684, 'score_after': 4.117217685842032, 'vgdop_y_after_mm': 16.220909927967114, 'normal_cond_after': 4.57499365146784}]"
B1_session_t1.3_g1.5,ID09,ABCDEGH,F,5.35351896514054,1201,"[{'step': 1, 'dropped_anchor': 'F', 'score_before': 7.125590584005152, 'score_after': 5.35351896514054, 'vgdop_y_after_mm': 18.077259755137902, 'normal_cond_after': 2.841271547014873}]"
B1_session_t1.3_g1.5,ID10,ABCDEH,"F,G",1.8280485092557488,1201,"[{'step': 1, 'dropped_anchor': 'F', 'score_before': 4.4107659569665785, 'score_after': 3.160455833205637, 'vgdop_y_after_mm': 14.56922895595886, 'normal_cond_after': 2.3216512718050697}, {'step': 2, 'dropped_anchor': 'G', 'score_before': 3.160455833205637, 'score_after': 1.8280485092557488, 'vgdop_y_after_mm': 15.186738938702128, 'normal_cond_after': 2.9204619764783106}]"
