mode,positions,selector_dropped_total,oracle_dropped_total,false_drop_total,miss_total,false_drop_rate,miss_rate
B1_session_t2_g1.5,24,1,40,1,40,1.0,1.0
B2_frame_greedy_tau4_t2_g1.5,24,22,40,18,36,0.8181818181818182,0.9
B3_frame_exhaustive_t2_g2,24,107,40,84,17,0.7850467289719626,0.425
