position,A,B,C,D,E,F,G,H
ID01,162.36544714027286,152.8624704851327,71.37536251640404,175.92123718351786,319.4600736305806,190.95909495827027,159.62652437767974,37.35799724971139
ID02,177.73962225642867,108.51371590699068,44.84588521278374,266.83530455125265,138.7117836781365,97.30086666801935,117.33655169840495,98.11896361470781
ID03,199.66404190237108,415.9683282587673,84.50991425092388,532.7107531921388,93.15846397735709,59.82232423402206,146.55755476646573,95.05964303808696
ID04,228.26667444160194,192.4205294415906,76.02848991639576,194.89180562035244,141.68357390268966,412.94815497225704,148.85272343521729,256.409686872837
ID05,640.3937152368371,103.13428705158276,201.35055939592598,141.63439300860318,134.5232383457278,109.24698473252624,138.04473480929823,145.83314449478894
ID06,325.5968025947036,104.7629246968047,303.506250487952,156.53541822952775,214.34821330164687,127.47809894662623,195.09536849072015,100.5688846858061
ID07,162.52301389985587,55.976434689871894,38.84450630909646,149.63239267840345,298.6011120834405,112.95257720686595,320.783352928569,144.17929142379944
ID08,199.06628476699507,446.5157485317777,58.73733151362535,232.55669847725312,87.72749724507321,116.94272021313282,173.1987363861283,59.433453471070834
ID09,145.82992861148568,168.04121219225908,90.20984474235843,390.94644020868986,70.14504853444396,266.0632380157856,106.30757510129047,141.63314247684866
ID10,182.9089085289961,167.2407275171854,189.14978523544914,168.04623098442107,120.05149405517363,286.75581306571985,129.05803605172514,189.03008251870529
ID11,224.53203809237448,106.22918924933902,257.7476871543936,207.10700771733173,160.03485074985792,129.8742073902713,192.89115027336265,134.89833956074835
ID12,298.45331569164387,115.49967591727682,308.6056657462491,145.06114256508067,183.99113692710557,142.53056331989683,128.05009643762514,43.20409133921703
ID13,181.22874149637892,142.71226054278304,52.52697553754797,209.65118524422928,144.2434087351303,109.27155102163852,187.3128209568572,87.88564139213508
ID14,234.99350996769522,69.2797569427023,89.02579246191362,136.70762876014032,87.80968154004722,153.29061268692817,109.43245447669028,120.98574432430814
ID15,129.00156741235423,156.11026032998234,70.73160774294979,198.466881715407,87.86220175977974,154.68564792467396,154.06971116768727,75.49736764461409
ID16,241.72695100648684,103.58328040485071,147.61036595209316,178.72517343113918,89.13238338127235,183.1405035329874,130.7641944826653,114.68658281749254
ID17,147.31249948908203,78.33314509482011,94.57293005582073,100.94938547149354,222.39920009161006,75.7666542794268,194.730939349452,42.13286052075364
ID18,92.36092901726238,107.76576961295541,169.76433334964736,157.7447187811374,52.36845380976047,134.56718787387672,120.28327954577026,120.03127520776206
ID19,201.95883385531033,15.884288914928675,55.33580925490514,151.25445154200838,439.2524124839447,111.32429246072616,565.3086794344672,42.59689804065238
ID20,187.65865745543738,127.9235172821243,113.56862749026368,113.0489924335966,46.002635015850046,383.8775118132903,84.8271590981235,273.2314616113631
ID21,169.49596183651238,201.1053966498489,91.79164978660901,411.9504876636438,125.81656312074915,117.40091358753261,124.76050888713485,81.87545867608605
ID22,501.835024953165,104.50673764605108,143.2621304526765,114.82755163616321,96.51426471198715,144.8219957736071,163.12218441006894,91.5834571919413
ID23,159.97169727143455,382.3427101841439,137.51751690643232,208.3624002687411,141.60886046797327,124.01753600780853,158.51151073107803,81.3017301592904
ID24,299.81771547672224,109.21100452692053,589.8446181431664,119.33883540947727,107.68064724948499,138.93910253482,173.5013424502199,107.05588699186524
