row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L10:I1+I3+I7:T6,simulate_imu_prior,0.6591322509921156,,,,
R4:L10:I1+I3+I7:T6,cpu_golden,20.654282231000252,,,,
R4:L10:I1+I3+I7:T6,torch_gpu,2.1392718280112604,0,1,2.1392718280112604,2.1392718280112604
R4:L10:I1+I3+I7:T8,simulate_imu_prior,0.5845001510024304,,,,
R4:L10:I1+I3+I7:T8,cpu_golden,20.31408755099983,,,,
R4:L10:I1+I3+I7:T8,torch_gpu,2.0367635440052254,0,1,2.0367635440052254,2.0367635440052254
R4:L10:I1+I2+I3+I8:T6,simulate_imu_prior,0.5702158880012576,,,,
R4:L10:I1+I2+I3+I8:T6,cpu_golden,20.43406695300655,,,,
R4:L10:I1+I2+I3+I8:T6,torch_gpu,2.0155268910020823,0,1,2.0155268910020823,2.0155268910020823
R4:L10:I1+I2+I3+I8:T8,simulate_imu_prior,0.6583837370126275,,,,
R4:L10:I1+I2+I3+I8:T8,cpu_golden,20.756325737995212,,,,
R4:L10:I1+I2+I3+I8:T8,torch_gpu,2.0558019279997097,0,1,2.0558019279997097,2.0558019279997097
