pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,5224.498439290351,5223.000000000001,1.4984392903497792,1.4984392903497792
A-C,9251.565854606222,9252.475624256838,-0.9097696506159991,0.9097696506159991
A-D,9748.5483486209,9751.36,-2.811651379101022,2.811651379101022
A-E,1508.681678635318,1508.0,0.6816786353178941,0.6816786353178941
A-F,5909.509633397098,5907.000000000001,2.509633397096877,2.509633397096877
A-G,9142.0847668906,9143.0,-0.9152331093991961,0.9152331093991961
A-H,9939.595515723011,9939.52854812398,0.0669675990302494,0.0669675990302494
B-C,5760.150722772068,5758.571065989847,1.579656782220809,1.579656782220809
B-D,5366.6666412664845,5363.948751642576,2.717889623908377,2.717889623908377
B-E,5243.661670396901,5245.4098360655735,-1.7481656686723,1.7481656686723
B-F,1649.9412563991498,1652.5,-2.558743600850221,2.558743600850221
B-G,5857.570902105285,5858.780487804878,-1.2095856995929353,1.2095856995929353
B-H,5496.570000772115,5498.729455909944,-2.159455137828445,2.159455137828445
C-D,9170.3569994458,9173.0,-2.6430005542006256,2.6430005542006256
C-E,9165.59983324663,9166.999999999998,-1.4001667533684667,1.4001667533684667
C-F,5952.2869511592935,5950.286390532545,2.0005606267486655,2.0005606267486655
C-G,1348.6288853599399,1347.1611030478953,1.4677823120446192,1.4677823120446192
C-H,8957.238361817874,8956.469724770643,0.7686370472310955,0.7686370472310955
D-E,9696.210031980609,9697.0,-0.789968019391381,0.789968019391381
D-F,5115.794667073787,5113.0,2.794667073787423,2.794667073787423
D-G,9366.579166740536,9366.5,0.07916674053558381,0.07916674053558381
D-H,1572.5034941610543,1572.4413793103447,0.062114850709576785,0.062114850709576785
E-F,5502.152730668544,5503.0,-0.8472693314561184,0.8472693314561184
E-G,8840.992903021579,8838.582758620689,2.4101444008902035,2.4101444008902035
E-H,9650.304735392283,9647.602352941176,2.7023824511070416,2.7023824511070416
F-G,5722.128484133361,5723.0,-0.8715158666391289,0.8715158666391289
F-H,4774.542993859077,4776.390243902439,-1.8472500433617824,1.8472500433617824
G-H,8943.4315483589,8942.532224532226,0.8993238266739354,0.8993238266739354
