height,n,measured_signed_vertical_median_mm,measured_signed_vertical_sign,measured_abs_vertical_target_mm
low,8,-115.54784174009808,negative,115.54784174009808
mid,8,-37.3950187664891,negative,37.3950187664891
high,8,63.959437468430906,positive,63.959437468430906
