gamma_abs,gamma_signed,resolution_cm,z_floor_mm,ID,height,location,facing,truth_x_mm,truth_y_vertical_mm,truth_z_mm,pred_dx_horizontal1_mm,pred_dx_horizontal2_mm,pred_dy_vertical_signed_mm,pred_horizontal_mm,pred_vertical_abs_mm,pred_3d_mm,link_bias_mean_mm,link_bias_min_mm,link_bias_max_mm
0.5,-0.5,15.0,0.0,ID01,low,edge,ABEF,-542.215344349341,182.54280058407932,-383.3240609304319,-21.687199723940196,-4.579979802108469,-10.618189869270633,22.165532857429646,10.618189869270633,24.577567067422983,35.817793072224944,2.202350523850655,70.28744488703022
0.5,-0.5,15.0,0.0,ID02,mid,edge,ABEF,-543.22998,1105.589,-259.92136,-3.7409531210683324,-0.6099997403137868,6.41409627739777,3.7903601329179506,6.41409627739777,7.4503329451066636,2.395402617152635,1.0900420756983967e-45,9.952761725238746
0.5,-0.5,15.0,0.0,ID03,high,edge,ABEF,-554.00287,1625.56145,-256.2951,-0.7226682798301197,-0.18595116923813482,1.3240657196705572,0.7462086035510804,1.3240657196705572,1.5198609508834564,0.496203273686186,7.375457114847158e-86,2.4037951056678866
0.5,-0.5,15.0,0.0,ID04,low,edge,BCGF,-321.178815,182.16379,479.93382,-8.371297616185219,21.487804748613932,-10.58395090426438,23.060884126444584,10.58395090426438,25.37369491101331,35.7730735053875,1.358985556550464,70.64211831949868
0.5,-0.5,15.0,0.0,ID05,mid,edge,BCGF,-184.9818897969324,1103.586616559577,473.7040289339493,-0.8008535953719343,4.18386797756016,6.228354384958412,4.2598260216672585,6.228354384958412,7.545761464524584,2.7999266777693834,3.129714548212984e-52,10.87064324148339
0.5,-0.5,15.0,0.0,ID06,high,edge,BCGF,-193.231255,1684.95255,476.52298,-0.1574788369527502,0.6547382457749956,1.1560829870323943,0.6734105393951816,1.1560829870323943,1.3379124139771827,0.49327584484856335,4.4487258938750333e-103,2.0609350579430195
0.5,-0.5,15.0,0.0,ID07,low,edge,CDHG,352.14755,211.565355,53.795866,20.22603530313962,6.030367886523202,-2.175272727835356,21.105872190711775,2.175272727835356,21.217673113966214,33.10769574499153,0.5758850489274865,67.93438615802381
0.5,-0.5,15.0,0.0,ID08,mid,edge,CDHG,391.90054,1132.2804,-71.53192899999999,2.06183834506951,0.6415393684350795,5.098707491213786,2.159340205352333,5.098707491213786,5.537108288936621,1.8171999120764746,2.577124503586234e-49,6.909712880062866
0.5,-0.5,15.0,0.0,ID09,high,edge,CDHG,408.80994,1568.1853500000002,-62.4257885,0.3597101299360261,0.16637117517953287,1.1420515084199083,0.39632151784783476,1.1420515084199083,1.2088640921929146,0.4007419579700528,2.135510466084458e-84,1.7207955364245084
0.5,-0.5,15.0,0.0,ID10,low,edge,ADHE,65.499245,238.64973,-938.19342,4.628038443083065,-21.570055484340994,1.512922401913941,22.06096175211325,1.512922401913941,22.112778378630235,30.43378329870531,0.08682487007945613,68.20345697511496
0.5,-0.5,15.0,0.0,ID11,mid,edge,ADHE,-63.9057945,1133.4998500000002,-956.990295,-0.7101800379661657,-4.600836034596789,5.8145906985361835,4.6553246829378,5.8145906985361835,7.4485913362912735,2.75216009598498,4.4221557598287643e-54,14.21208967497898
0.5,-0.5,15.0,0.0,ID12,high,edge,ADHE,-43.6886845,1590.1300500000002,-956.35754,-0.350330770947472,-1.2125894390440468,1.753030084159171,1.2621825528638106,1.753030084159171,2.1601433454104186,0.771818517001158,6.623102892943413e-94,4.640464919514645
0.5,-0.5,15.0,0.0,ID13,mid,center,ABEF,-189.628155,1139.0976,-197.96616,-1.1500886856932766,-0.1467507597363884,5.117093223433724,1.1594135459114212,5.117093223433724,5.246797387717028,1.621047733746157,2.2455167508203937e-42,5.463027908498032
0.5,-0.5,15.0,0.0,ID14,mid,center,BCGF,-198.69532,1132.6278,-194.690585,-1.2219596332916614,-0.13538246286525532,5.237704337697208,1.2294363572978284,5.237704337697208,5.380061383086432,1.6685761798541507,3.734101483477555e-42,5.61187641929746
