row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L5:I1+I3+I7:T6,simulate_imu_prior,0.7892420420103008,,,,
R2:L5:I1+I3+I7:T6,cpu_golden,21.504920470993966,,,,
R2:L5:I1+I3+I7:T6,torch_gpu,2.61639612900035,0,1,2.61639612900035,2.61639612900035
R2:L5:I1+I3+I7:T8,simulate_imu_prior,0.6555226539931027,,,,
R2:L5:I1+I3+I7:T8,cpu_golden,21.623896038989187,,,,
R2:L5:I1+I3+I7:T8,torch_gpu,2.619951596003375,0,1,2.619951596003375,2.619951596003375
R2:L5:I1+I2+I3+I8:T6,simulate_imu_prior,0.5919351440097671,,,,
R2:L5:I1+I2+I3+I8:T6,cpu_golden,21.423972803997458,,,,
R2:L5:I1+I2+I3+I8:T6,torch_gpu,2.4902421290025814,0,1,2.4902421290025814,2.4902421290025814
R2:L5:I1+I2+I3+I8:T8,simulate_imu_prior,0.6155431579973083,,,,
R2:L5:I1+I2+I3+I8:T8,cpu_golden,23.39047811200726,,,,
R2:L5:I1+I2+I3+I8:T8,torch_gpu,3.1501174660079414,0,1,3.1501174660079414,3.1501174660079414
