node_id,boot_epoch,a_ns_per_us,b_ns,sigma_ns,first_timer_us,last_timer_us,integer_epoch_offset,integer_choice_margin_epochs,listener_pairs,clean_pairs,rejected_pairs,clean_residual_p95_us,clean_residual_max_us,raw_residual_p95_us,raw_residual_p99_us,raw_residual_max_us,capture_span_coverage,max_clean_anchor_gap_s,rejection_fraction,drift_ppm,mod16_agreement_fraction,timestamp_reversals
BSF3C79,0,999.9850248695773,-3294930280.9672356,23590.666286945343,2777750437,4169771324,23120,48544,9709,9693,16,36.14463052749634,284.026150226593,36.39458484649659,242.42709495544435,502.8445620536804,0.8368965271136769,0.360023,0.0016479555052013595,15.016611977891614,1.0,0
BSFC2CC,1,999.9866008709673,45585671061.48434,73009.39258289337,2728874812,4120893763,23120,60,60,57,3,280.85167551040644,408.27899265289307,412.8546158313749,736.2782357168189,870.4225544929504,0.8122413571939942,54.720555,0.05,13.420309576295253,1.0,0
BSF44AD,0,999.9865491074013,-9094240207.194328,51516.44299235344,2783566167,4175584453,23120,1042,1000,922,78,173.19529376029965,306.58577275276184,418.63685851097097,640.0019673538208,1070.882726430893,0.8351725222954435,11.160136,0.078,13.489316304626797,1.0,0
BSF6C53,0,999.9835431992369,159668280171.27515,39528.262454080585,2614819126,4006841997,23120,14535,8376,7450,926,194.8459431171414,299.29554510116577,433.631422996521,659.8941445350647,1442.722116947174,0.8367240684510276,1.200167,0.11055396370582617,16.48529428499579,1.0,0
BSF8BC4,0,999.9851433612337,-8989515316.369057,30684.313922309873,2783484967,4175505945,23120,42244,9684,8813,871,187.99845733642576,299.8247904777527,405.13342502117166,642.8287636613846,1273.5832877159119,0.8368103400809525,0.480308,0.0899421726559273,14.882796929738262,1.0,0
BSF1120,0,999.9856562676968,98305666292.16814,44382.747910022736,2676196952,4068216636,23120,30375,9673,8550,1123,192.82216527461983,299.3564233779907,476.3545296669005,899.8239669418341,1315.209566116333,0.8368103047600295,0.480102,0.1160963506668045,14.336278363336064,1.0,0
BSF31CC,1,999.9852894951858,1788980425126.7246,35588.87998409272,985508405,2377408803,23120,7566,5208,4561,647,269.3161954879761,299.8428101539612,415.15773308277124,543.8368853664426,1138.3087224960327,0.8368824527054989,7.080138,0.12423195084485407,14.684118121666145,1.0,0
BSFAA61,0,999.9873568744302,98351910278.15103,43995.96970610618,2676165935,4068183844,23120,589,538,462,76,252.43278131484985,298.490891456604,868.3478264570225,1383.350723171234,1582.7903318405151,0.8362930422614269,23.040194,0.1412639405204461,12.686820958229816,1.0,0
BSFB165,0,999.9866254359921,96761045649.19568,40620.1450758934,2677649101,4069667593,23119,2098,1947,1865,82,253.36303615570063,298.2251658439636,287.25947556495663,500.8164041996001,1165.9708280563354,0.8352586224120362,6.36011,0.042116076014381096,13.390568347038112,1.0,0
BSFEC35,0,999.9924983352558,98368427964.22624,48208.87346405983,2676036109,4068046782,23119,5558,4359,4274,85,260.9039121389389,299.9322364330292,274.3838463306425,335.6111068344117,1313.7129714488983,0.8367238876766859,2.520125,0.019499885294792383,7.564221989886377,1.0,0
