a,b,distance_mm,sigma_mm,var_mm2,n_ab,n_ba,mean_ab_mm,mean_ba_mm,bias_mm,high_bias
A,B,4611,15.255828139937028,232.7402922352945,10,10,4566.5,4734.4,167.8999999999995,True
A,C,5182,9.602035476336399,92.19908528882276,10,10,5196.400000000001,5163.2,33.200000000000784,False
A,D,2818,7.97099984976031,63.53683860487888,10,10,2819.1,2789.7999999999997,29.300000000000104,False
A,E,1652,28.31869607487827,801.948547381326,10,10,1669.0,1624.4,44.59999999999997,False
A,F,4633,15.790565936651586,249.34197259974138,8,10,4628.875,4634.700000000001,5.825000000000635,False
A,G,5317,7.990207341129253,63.8434133542358,10,10,5318.900000000001,5268.7,50.200000000000244,False
A,H,3178,2.9839776408574936,8.904122561137452,10,9,3175.5,3177.888888888889,2.388888888888996,False
B,C,3447,10.780505491888459,116.21929866063721,10,10,3370.7000000000003,3448.7999999999997,78.09999999999961,False
B,D,5659,10.115214228020442,102.31755887874719,10,10,5656.4,5704.0,47.60000000000009,False
B,E,4591,16.749055423901535,280.5308575929254,10,10,4539.8,4597.099999999999,57.299999999998796,False
B,F,1581,15.482367076685758,239.70369029724313,7,10,1565.2857142857142,1587.6,22.31428571428573,False
B,G,3702,19.235626890779134,370.0093418812653,10,10,3694.4000000000005,3714.0,19.599999999999618,False
B,H,5517,20.485370704160925,419.6504128868946,10,10,5453.799999999999,5528.300000000001,74.50000000000134,False
C,D,4005,25.160556330892227,633.053594880001,10,10,3993.3999999999996,4017.6,24.2,False
C,E,5054,23.17581998588472,537.1186320181336,10,10,5063.000000000001,5050.099999999999,12.900000000001022,False
C,F,3562,4.630864387521071,21.444904975610903,9,10,3561.6666666666665,3562.4,0.7333333333336967,False
C,G,1613,10.753385317092079,115.6352957778515,10,10,1632.0000000000002,1611.6,20.400000000000198,False
C,H,4057,7.116480000000174,50.644287590402485,10,10,4043.4,4065.4000000000005,22.00000000000024,False
D,E,3124,23.934613548929473,572.8657257365983,10,10,3128.7000000000003,3107.0,21.700000000000053,False
D,F,5344,11.58668181538338,134.2511954909359,10,10,5347.099999999999,5343.100000000001,3.999999999997783,False
D,G,4133,4.570525427203723,20.88970268071577,10,9,4134.0,4092.1111111111113,41.888888888888864,False
D,H,1751,9.282544273635217,86.16562819199797,9,10,1759.3333333333333,1749.3,10.033333333333339,False
E,F,4316,13.989813335101811,195.71487715099244,9,10,4312.111111111111,4351.900000000001,39.78888888888932,False
E,G,4946,10.547574772255373,111.25133357631798,10,10,4951.7,4932.0,19.699999999999385,False
E,H,2795,11.404443238178285,130.0613255728304,10,10,2792.1000000000004,2828.4,36.29999999999978,False
F,G,3417,12.115265251143246,146.779652105559,9,10,3419.333333333333,3407.1,12.233333333333096,False
F,H,5193,21.472137931034695,461.05270732937896,9,5,5189.999999999999,5195.6,5.60000000000116,False
G,H,3725,7.58703778487824,57.563142349170114,10,10,3704.0999999999995,3749.5000000000005,45.40000000000077,False
