host_elapsed_s,host_epoch_s,listener_t_ms,seq,pan,src,dst,code,q,level,cir,rxpacc,fp1,len
67.853,1777233251.229549,79953201,692030,0xdeca,0xb102,0xa100,0xe0,20578,7,2414,124,7774,12
67.866,1777233251.242124,79953214,692031,0xdeca,0xb102,0xa104,0xe0,21513,7,2443,122,7469,12
68.765,1777233252.142056,79954114,692032,0xdeca,0xb101,0xa100,0xe0,18618,7,2149,123,7300,12
68.778,1777233252.154602,79954126,692033,0xdeca,0xb101,0xa105,0xe0,20006,7,2385,125,6560,12
70.566,1777233253.942680,79955914,692034,0xdeca,0xb102,0xa100,0xe0,18267,7,2143,124,2686,12
70.579,1777233253.955253,79955927,692035,0xdeca,0xb102,0xa105,0xe0,16679,7,1894,122,3225,12
71.841,1777233255.217064,79957189,692036,0xdeca,0xb101,0xa100,0xe0,20971,7,2500,125,7207,12
71.853,1777233255.229604,79957201,692037,0xdeca,0xb101,0xa104,0xe0,19312,7,2017,117,6844,12
72.408,1777233255.784413,79957756,692038,0xdeca,0xb102,0xa100,0xe0,18813,7,2207,124,7325,12
72.420,1777233255.796955,79957769,692039,0xdeca,0xb102,0xa105,0xe0,18583,7,2180,124,4273,12
72.459,1777233255.835332,79957807,692040,0xdeca,0xb103,0xa104,0xe0,19364,7,2199,122,3707,12
72.471,1777233255.847906,79957820,692041,0xdeca,0xb103,0xa106,0xe0,18169,7,1963,119,4149,12
72.484,1777233255.860261,79957832,692042,0xdeca,0xb101,0xa101,0xe0,16146,7,553,67,3874,12
72.496,1777233255.872825,79957845,692043,0xdeca,0xb101,0xa106,0xe0,17636,7,1970,121,7824,12
72.534,1777233255.910807,79957883,692044,0xdeca,0xb102,0xa100,0xe0,18895,7,2181,123,3455,12
72.547,1777233255.923406,79957895,692045,0xdeca,0xb102,0xa107,0xe0,17841,7,2093,124,3168,12
72.658,1777233256.034092,79958006,692046,0xdeca,0xb103,0xa100,0xe0,19874,7,2220,121,6787,12
72.670,1777233256.046631,79958019,692047,0xdeca,0xb103,0xa101,0xe0,18460,7,1928,117,5903,12
72.683,1777233256.059167,79958031,692048,0xdeca,0xb101,0xa101,0xe0,18665,7,2085,121,7313,12
72.695,1777233256.071778,79958044,692049,0xdeca,0xa105,0xb101,0xe1,19567,7,2222,122,7059,20
72.737,1777233256.113996,79958072,692050,0xdeca,0xb102,0xa100,0xe0,18622,7,2012,119,7112,12
72.858,1777233256.234962,79958207,692051,0xdeca,0xb103,0xa104,0xe0,18600,7,1976,118,5179,12
72.871,1777233256.247535,79958219,692052,0xdeca,0xb103,0xa106,0xe0,17296,7,2029,124,6028,12
72.884,1777233256.260378,79958232,692053,0xdeca,0xb101,0xa104,0xe0,18694,7,2193,124,7491,12
72.927,1777233256.303678,79958275,692054,0xdeca,0xb102,0xa100,0xe0,16993,7,1867,120,7113,12
72.940,1777233256.316147,79958288,692055,0xdeca,0xb102,0xa105,0xe0,17353,7,2003,123,7240,12
73.060,1777233256.437000,79958409,692056,0xdeca,0xb103,0xa100,0xe0,17188,7,1920,121,3673,12
73.073,1777233256.449567,79958421,692057,0xdeca,0xb101,0xa100,0xe0,17638,7,2003,122,7508,12
73.086,1777233256.462137,79958434,692058,0xdeca,0xb101,0xa102,0xe0,18001,7,2146,125,7578,12
73.098,1777233256.474720,79958447,692059,0xdeca,0xb101,0xa107,0xe0,17604,7,1902,119,7395,12
73.126,1777233256.502792,79958475,692060,0xdeca,0xb102,0xa100,0xe0,16162,7,1688,117,6919,12
73.139,1777233256.515338,79958487,692061,0xdeca,0xb102,0xa104,0xe0,18158,7,2062,122,7179,12
73.260,1777233256.636355,79958608,692062,0xdeca,0xb103,0xa104,0xe0,18600,7,2182,124,4419,12
73.272,1777233256.649026,79958621,692063,0xdeca,0xb103,0xa106,0xe0,20307,7,2306,122,6146,12
