measurement_id,provenance_class,side,measurement_mode,landmark_a,landmark_b_or_axis,repeat_1_mm,repeat_2_mm,repeat_3_mm,instrument,instrument_resolution_mm,source_reference,measurement_date,operator,required_for,notes
acromion_to_lateral_epicondyle_L,DIRECT_SURFACE_MEASUREMENT,L,DIRECT_DISTANCE,acromion,lateral_humeral_epicondyle,,,,,,,2026-08-14,,segment_surface_measurement,
acromion_to_lateral_epicondyle_R,DIRECT_SURFACE_MEASUREMENT,R,DIRECT_DISTANCE,acromion,lateral_humeral_epicondyle,,,,,,,2026-08-14,,segment_surface_measurement,
lateral_epicondyle_to_wrist_styloid_midpoint_L,DIRECT_SURFACE_MEASUREMENT,L,DIRECT_DISTANCE,lateral_humeral_epicondyle,radial_ulnar_styloid_midpoint,,,,,,,2026-08-14,,segment_surface_measurement,
lateral_epicondyle_to_wrist_styloid_midpoint_R,DIRECT_SURFACE_MEASUREMENT,R,DIRECT_DISTANCE,lateral_humeral_epicondyle,radial_ulnar_styloid_midpoint,,,,,,,2026-08-14,,segment_surface_measurement,
greater_trochanter_to_lateral_knee_landmark_L,DIRECT_SURFACE_MEASUREMENT,L,DIRECT_DISTANCE,greater_trochanter,lateral_femoral_epicondyle,,,,,,,2026-08-14,,segment_surface_measurement,
greater_trochanter_to_lateral_knee_landmark_R,DIRECT_SURFACE_MEASUREMENT,R,DIRECT_DISTANCE,greater_trochanter,lateral_femoral_epicondyle,,,,,,,2026-08-14,,segment_surface_measurement,
lateral_knee_landmark_to_malleolar_midpoint_L,DIRECT_SURFACE_MEASUREMENT,L,DIRECT_DISTANCE,lateral_femoral_epicondyle,medial_lateral_malleolar_midpoint,,,,,,,2026-08-14,,segment_surface_measurement,
lateral_knee_landmark_to_malleolar_midpoint_R,DIRECT_SURFACE_MEASUREMENT,R,DIRECT_DISTANCE,lateral_femoral_epicondyle,medial_lateral_malleolar_midpoint,,,,,,,2026-08-14,,segment_surface_measurement,
biacromial_breadth,DIRECT_SURFACE_MEASUREMENT,BILATERAL,DIRECT_DISTANCE,left_acromion,right_acromion,,,,,,,2026-08-14,,shoulder_sanity_and_centerline,
ASIS_breadth,DIRECT_SURFACE_MEASUREMENT,BILATERAL,DIRECT_DISTANCE,left_ASIS,right_ASIS,,,,,,,2026-08-14,,Harrington_2007_pelvis_only,
C7_to_mid_PSIS,DIRECT_SURFACE_MEASUREMENT,MIDLINE,DIRECT_DISTANCE,C7_spinous_process,bilateral_PSIS_midpoint,,,,,,,2026-08-14,,torso_centerline,
pelvis_anterior_posterior_depth,DIRECT_SURFACE_MEASUREMENT,MIDLINE,DIRECT_DISTANCE,bilateral_ASIS_midpoint,bilateral_PSIS_midpoint_horizontal_depth,,,,,,,2026-08-14,,Harrington_2007_pelvis_only,Do not substitute surface arc length
barefoot_height_optional,SANITY_CHECK_ONLY,MIDLINE,DIRECT_VERTICAL_DISTANCE,bare_floor,vertex_of_head,,,,,,,2026-08-14,,sanity_check_only,Optional and excluded from derivation/calibration
