row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L0:I0:T6,simulate_imu_prior,0.09852150699589401,,,,
R2:L0:I0:T6,cpu_golden,17.972159704993828,,,,
R2:L0:I0:T6,torch_gpu,1.9349265399941942,0,1,1.9349265399941942,1.9349265399941942
R2:L0:I0:T8,simulate_imu_prior,0.10559274899424054,,,,
R2:L0:I0:T8,cpu_golden,18.5040945019864,,,,
R2:L0:I0:T8,torch_gpu,1.9313983650063165,0,1,1.9313983650063165,1.9313983650063165
R2:L0:I1:T6,simulate_imu_prior,0.09371142099553254,,,,
R2:L0:I1:T6,cpu_golden,18.295989542995812,,,,
R2:L0:I1:T6,torch_gpu,1.8060482799919555,0,1,1.8060482799919555,1.8060482799919555
R2:L0:I1:T8,simulate_imu_prior,0.10105311800725758,,,,
R2:L0:I1:T8,cpu_golden,18.680592261996935,,,,
R2:L0:I1:T8,torch_gpu,1.9538277960091364,0,1,1.9538277960091364,1.9538277960091364
