source,pair,measured_median_mm,layout_pair_dist_mm,pair_bias_mm,delaycal_pair_predicted_bias_mm,delaycal_pair_residual_mm
OptiTrack truth anchors,A-B,2895.0,2665.0643575793506,229.9356424206494,244.83363896626443,14.89799654561503
OptiTrack truth anchors,A-C,3718.0,3414.1085019320158,303.89149806798423,275.59566418020097,-28.29583388778326
OptiTrack truth anchors,A-D,2429.0,2165.8598471827554,263.1401528172446,263.12073401679777,-0.019418800446828755
OptiTrack truth anchors,A-E,1550.0,1403.6365517390243,146.3634482609757,197.59386714019593,51.230418879220224
OptiTrack truth anchors,A-F,3322.0,3074.024420727174,247.97557927282605,198.93383522547333,-49.04174404735272
OptiTrack truth anchors,A-G,4020.5,3734.3841559079856,286.1158440920144,234.25901465471543,-51.856829437298984
OptiTrack truth anchors,A-H,2688.0,2517.200327023951,170.7996729760489,233.8850837240953,63.0854107480464
OptiTrack truth anchors,B-C,2407.0,2179.133082966119,227.86691703388078,223.64303124397532,-4.2238857899054665
OptiTrack truth anchors,B-D,3670.0,3440.4790686576366,229.52093134236338,211.16810108057217,-18.352830261791212
OptiTrack truth anchors,B-E,3135.0,2955.9630981271275,179.03690187287248,145.6412342039703,-33.39566766890218
OptiTrack truth anchors,B-F,1620.0,1392.3829235074895,227.61707649251048,146.98120228924773,-80.63587420326274
OptiTrack truth anchors,B-G,2745.0,2658.9595708272213,86.04042917277866,182.30638171848983,96.26595254571117
OptiTrack truth anchors,B-H,3902.0,3745.511858044666,156.48814195533396,181.93245078786967,25.44430883253571
OptiTrack truth anchors,C-D,2887.0,2636.9464765477865,250.05352345221354,241.93012629450868,-8.123397157704858
OptiTrack truth anchors,C-E,3885.0,3718.707957323416,166.29204267658406,176.4032594179068,10.11121674132275
OptiTrack truth anchors,C-F,2672.0,2566.2905209564447,105.70947904355535,177.74322750318424,72.0337484596289
OptiTrack truth anchors,C-G,1618.0,1406.489122081887,211.510877918113,213.06840693242634,1.5575290143133316
OptiTrack truth anchors,C-H,3347.0,3091.2461466183227,255.75385338167735,212.69447600180618,-43.059377379871165
OptiTrack truth anchors,D-E,2793.0,2660.813628381067,132.1863716189332,163.92832925450367,31.741957635570458
OptiTrack truth anchors,D-F,3850.0,3737.3010362894142,112.69896371058576,165.2682973397811,52.56933362919534
OptiTrack truth anchors,D-G,3160.0,2964.7456840920613,195.2543159079387,200.5934767690232,5.339160861084508
OptiTrack truth anchors,D-H,1659.0,1395.6256482556894,263.3743517443106,200.21954583840304,-63.15480590590758
OptiTrack truth anchors,E-F,2762.0,2682.8449302921804,79.15506970781962,99.74143046317923,20.586360755359607
OptiTrack truth anchors,E-G,3711.0,3495.0033830335615,215.99661696643852,135.06660989242133,-80.9300070740172
OptiTrack truth anchors,E-H,2333.0,2198.9630417696453,134.03695823035468,134.69267896180116,0.655720731446479
OptiTrack truth anchors,F-G,2374.0,2236.1352352837457,137.86476471625429,136.40657797769873,-1.458186738555554
OptiTrack truth anchors,F-H,3660.0,3509.9137150979086,150.0862849020914,136.03264704707857,-14.053637855012823
OptiTrack truth anchors,G-H,2880.0,2739.7245543524423,140.27544564755772,171.35782647632067,31.08238082876295
v1-old full-similarity scaled layout,A-B,2895.0,2740.736826312553,154.26317368744685,189.41579777247205,35.152624085025195
v1-old full-similarity scaled layout,A-C,3718.0,3510.234276698876,207.76572330112413,196.64687371235624,-11.118849588767887
v1-old full-similarity scaled layout,A-D,2429.0,2215.89603488046,213.10396511954013,194.00690345616786,-19.097061663372273
v1-old full-similarity scaled layout,A-E,1550.0,1405.3310036938894,144.66899630611056,152.49773903175037,7.828742725639813
v1-old full-similarity scaled layout,A-F,3322.0,3119.355604008092,202.6443959919079,173.4367331195404,-29.207662872367507
v1-old full-similarity scaled layout,A-G,4020.5,3831.721207979933,188.77879202006716,160.53158460735236,-28.2472074127148
v1-old full-similarity scaled layout,A-H,2688.0,2566.3196077500725,121.68039224992754,166.3698069764845,44.689414726556976
v1-old full-similarity scaled layout,B-C,2407.0,2141.383652862684,265.6163471373161,231.2451965218582,-34.37115061545791
v1-old full-similarity scaled layout,B-D,3670.0,3433.2486269425262,236.75137305747376,228.6052262656698,-8.146146791803943
v1-old full-similarity scaled layout,B-E,3135.0,2916.547608628255,218.45239137174485,187.09606184125232,-31.35632953049253
v1-old full-similarity scaled layout,B-F,1620.0,1362.9372716870078,257.06272831299225,208.03505592904236,-49.02767238394989
v1-old full-similarity scaled layout,B-G,2745.0,2620.8559331190013,124.14406688099871,195.1299074168543,70.9858405358556
v1-old full-similarity scaled layout,B-H,3902.0,3717.7947049148365,184.20529508516347,200.96812978598646,16.762834700822992
v1-old full-similarity scaled layout,C-D,2887.0,2670.109007500258,216.89099249974197,235.83630220555403,18.945309705812065
v1-old full-similarity scaled layout,C-E,3885.0,3703.723939520857,181.27606047914287,194.3271377811365,13.051077301993644
v1-old full-similarity scaled layout,C-F,2672.0,2509.5547327986715,162.44526720132853,215.26613186892655,52.820864667598016
v1-old full-similarity scaled layout,C-G,1618.0,1384.1041268296265,233.89587317037353,202.36098335673853,-31.534889813635004
v1-old full-similarity scaled layout,C-H,3347.0,3131.008432616586,215.9915673834139,208.19920572587068,-7.792361657543211
v1-old full-similarity scaled layout,D-E,2793.0,2627.32662628363,165.67337371636995,191.6871675249481,26.013793808578157
v1-old full-similarity scaled layout,D-F,3850.0,3672.0986472265176,177.90135277348236,212.62616161273814,34.724808839255786
v1-old full-similarity scaled layout,D-G,3160.0,2956.513400854602,203.48659914539803,199.72101310055012,-3.7655860448479075
v1-old full-similarity scaled layout,D-H,1659.0,1404.765646676695,254.23435332330496,205.55923546968228,-48.67511785362268
v1-old full-similarity scaled layout,E-F,2762.0,2631.143463539775,130.85653646022502,171.11699718832065,40.26046072809564
v1-old full-similarity scaled layout,E-G,3711.0,3499.691207629697,211.30879237030285,158.2118486761326,-53.09694369417025
v1-old full-similarity scaled layout,E-H,2333.0,2166.2491276150904,166.7508723849096,164.05007104526476,-2.7008013396448405
v1-old full-similarity scaled layout,F-G,2374.0,2194.035135249802,179.9648647501981,179.15084276392264,-0.8140219862754634
v1-old full-similarity scaled layout,F-H,3660.0,3426.254157874588,233.74584212541185,184.9890651330548,-48.75677699235706
v1-old full-similarity scaled layout,G-H,2880.0,2754.3888917949207,125.61110820507929,172.08391662086677,46.47280841578748
v1-old one-baseline A-B scaled layout,A-B,2895.0,2665.064357579353,229.93564242064713,265.43279645059533,35.497154029948206
v1-old one-baseline A-B scaled layout,A-C,3718.0,3413.3157798189372,304.68422018106276,273.20049419139946,-31.4837259896633
v1-old one-baseline A-B scaled layout,A-D,2429.0,2154.7145592255647,274.2854407744353,270.2376670876125,-4.047773686822779
