config,success,inter_rms,N,X,Y,Z,3D
Dual-layer 8anc,True,209.34147778821824,601,13.270673411803251,19.307381840237955,39.106808180234275,45.587588358819005
Upper only EFGH,True,5.569494857771083e-13,171,21.380281566341633,43.71627014394636,98.05526975707477,109.46718523049383
Lower only ABCD,True,4.151256367437222e-13,598,16.225598421958402,27.884928233460336,59.40701156806736,67.60201395065373
Best6 no DH,True,189.57286219388487,601,13.69895625372563,19.213064607621515,42.186563709198175,48.33745350810656
Upper+AB,True,15.435614547196296,601,13.787901784251224,42.029442122345905,20.235450739128037,48.642098097671116
Lower+EF,True,28.440622514043838,601,13.639964784693852,18.327581815984725,37.457755503056056,43.87519050529614
