removed_action,best_bits,best_cost,same_as_full_best
arms#1,000,-87.08962374398489,True
left_elbow#1,000,-70.23422615878938,True
left_heel#1,000,-85.33743903444415,True
left_knee#1,000,-92.65364737559638,True
right_elbow#2,000,-65.55367999992295,True
right_heel#1,000,-84.82274088541148,True
right_knee#1,000,-91.03673752084482,True
squats#1,000,-93.90332941783242,True
