hypothesis_bits,pair,action,contribution
000,elbow,left_elbow#1,-2.4367985238431507
000,elbow,right_elbow#2,-4.205747722047349
000,elbow,arms#1,-4.271365044592247
000,wrist,left_elbow#1,-23.133464479771252
000,wrist,right_elbow#2,-26.045061440433482
000,wrist,arms#1,-4.443500373826658
000,ankle,left_knee#1,-3.15084178680739
000,ankle,right_knee#1,-4.767751641558958
000,ankle,left_heel#1,-10.46705012795963
000,ankle,right_heel#1,-10.981748276992302
000,ankle,squats#1,-1.9011597445713595
100,elbow,left_elbow#1,9.747194095372603
100,elbow,right_elbow#2,16.822990888189395
100,elbow,arms#1,-4.271365044592247
100,wrist,left_elbow#1,-23.133464479771252
100,wrist,right_elbow#2,-26.045061440433482
100,wrist,arms#1,-4.443500373826658
100,ankle,left_knee#1,-3.15084178680739
100,ankle,right_knee#1,-4.767751641558958
100,ankle,left_heel#1,-10.46705012795963
100,ankle,right_heel#1,-10.981748276992302
100,ankle,squats#1,-1.9011597445713595
001,elbow,left_elbow#1,-2.4367985238431507
001,elbow,right_elbow#2,-4.205747722047349
001,elbow,arms#1,-4.271365044592247
001,wrist,left_elbow#1,-23.133464479771252
001,wrist,right_elbow#2,-26.045061440433482
001,wrist,arms#1,-4.443500373826658
001,ankle,left_knee#1,12.60336714722956
001,ankle,right_knee#1,19.07100656623583
001,ankle,left_heel#1,41.86820051183852
001,ankle,right_heel#1,43.92699310796921
001,ankle,squats#1,-1.9011597445713595
101,elbow,left_elbow#1,9.747194095372603
101,elbow,right_elbow#2,16.822990888189395
101,elbow,arms#1,-4.271365044592247
101,wrist,left_elbow#1,-23.133464479771252
101,wrist,right_elbow#2,-26.045061440433482
101,wrist,arms#1,-4.443500373826658
101,ankle,left_knee#1,12.60336714722956
101,ankle,right_knee#1,19.07100656623583
101,ankle,left_heel#1,41.86820051183852
101,ankle,right_heel#1,43.92699310796921
101,ankle,squats#1,-1.9011597445713595
010,elbow,left_elbow#1,-2.4367985238431507
010,elbow,right_elbow#2,-4.205747722047349
010,elbow,arms#1,-4.271365044592247
010,wrist,left_elbow#1,92.53385791908501
010,wrist,right_elbow#2,104.18024576173393
010,wrist,arms#1,-4.443500373826658
010,ankle,left_knee#1,-3.15084178680739
010,ankle,right_knee#1,-4.767751641558958
010,ankle,left_heel#1,-10.46705012795963
010,ankle,right_heel#1,-10.981748276992302
010,ankle,squats#1,-1.9011597445713595
110,elbow,left_elbow#1,9.747194095372603
110,elbow,right_elbow#2,16.822990888189395
110,elbow,arms#1,-4.271365044592247
110,wrist,left_elbow#1,92.53385791908501
110,wrist,right_elbow#2,104.18024576173393
110,wrist,arms#1,-4.443500373826658
110,ankle,left_knee#1,-3.15084178680739
110,ankle,right_knee#1,-4.767751641558958
110,ankle,left_heel#1,-10.46705012795963
110,ankle,right_heel#1,-10.981748276992302
110,ankle,squats#1,-1.9011597445713595
011,elbow,left_elbow#1,-2.4367985238431507
011,elbow,right_elbow#2,-4.205747722047349
011,elbow,arms#1,-4.271365044592247
011,wrist,left_elbow#1,92.53385791908501
011,wrist,right_elbow#2,104.18024576173393
011,wrist,arms#1,-4.443500373826658
011,ankle,left_knee#1,12.60336714722956
011,ankle,right_knee#1,19.07100656623583
011,ankle,left_heel#1,41.86820051183852
011,ankle,right_heel#1,43.92699310796921
011,ankle,squats#1,-1.9011597445713595
111,elbow,left_elbow#1,9.747194095372603
111,elbow,right_elbow#2,16.822990888189395
111,elbow,arms#1,-4.271365044592247
111,wrist,left_elbow#1,92.53385791908501
111,wrist,right_elbow#2,104.18024576173393
111,wrist,arms#1,-4.443500373826658
111,ankle,left_knee#1,12.60336714722956
111,ankle,right_knee#1,19.07100656623583
111,ankle,left_heel#1,41.86820051183852
111,ankle,right_heel#1,43.92699310796921
111,ankle,squats#1,-1.9011597445713595
