node,imu_samples,t4_input,t4_valid,t4_updates,unused_t4_after_last_imu,resets
BSF3C79,278394,11601,11601,11601,0,0
BSFC2CC,278417,11601,11597,11597,0,0
BSF44AD,278414,11601,11600,11600,0,0
BSF6C53,278412,11601,11596,11596,0,0
BSF8BC4,278395,11601,11599,11599,0,0
BSF1120,278408,11601,11597,11597,0,0
BSF31CC,278407,11600,11600,11600,0,0
BSFAA61,278430,11601,11601,11600,1,0
BSFB165,278430,11601,11592,11592,0,0
BSFEC35,278419,11601,11596,11596,0,0
