eval_id,label,source_kind,version,tag_method,eval_set,component,role,signed_mean_bias_mm,signed_std_mm,p95_abs_error_mm,horizontal_2d_rmse_mm,horizontal_2d_p50_mm,horizontal_2d_p95_mm,axis_convention,note
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,X,OptiTrack horizontal X,23.728763699527466,32.41397237548605,79.86421692637713,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,Y_vertical,OptiTrack vertical Y,-6.218990870715952,130.84661894336355,259.3572034849878,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,Z,OptiTrack horizontal Z,-8.788862891268712,32.62102010958373,58.00957348706545,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
production_v4io_all8,production v4-io/all8,production_output,v4-io,production,all8,horizontal_XZ_2d,secondary 2D horizontal summary; not the primary localization metric,,,,51.64279594020814,43.830696817704755,82.8285311046252,OptiTrack frame; horizontal plane is X/Z,2D is shown only as secondary; 3D and vertical Y remain explicit
production_v4io_noG,production v4-io/noG,production_output,v4-io,production,noG,X,OptiTrack horizontal X,34.50837801363086,31.904663525864432,84.25375146241159,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
production_v4io_noG,production v4-io/noG,production_output,v4-io,production,noG,Y_vertical,OptiTrack vertical Y,-13.32643530757789,131.76364272207448,267.11959872393805,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
production_v4io_noG,production v4-io/noG,production_output,v4-io,production,noG,Z,OptiTrack horizontal Z,0.5510121594494312,31.21421904817653,54.93168314184904,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
production_v4io_noG,production v4-io/noG,production_output,v4-io,production,noG,horizontal_XZ_2d,secondary 2D horizontal summary; not the primary localization metric,,,,55.680849493242135,46.874989963989805,86.18701387085488,OptiTrack frame; horizontal plane is X/Z,2D is shown only as secondary; 3D and vertical Y remain explicit
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,X,OptiTrack horizontal X,29.844918917779864,34.260522820163175,83.88814045855472,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,Y_vertical,OptiTrack vertical Y,-26.32950115881748,82.02308502965431,147.29958245316152,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,Z,OptiTrack horizontal Z,-6.1566753087415576,34.930647183404794,58.58922042528412,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T3_all8,best-case raw v4-io/T3/all8,raw_replay,v4-io,T3,all8,horizontal_XZ_2d,secondary 2D horizontal summary; not the primary localization metric,,,,56.7697995587306,44.81668558198592,101.22426722802597,OptiTrack frame; horizontal plane is X/Z,2D is shown only as secondary; 3D and vertical Y remain explicit
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,X,OptiTrack horizontal X,22.163476797009164,32.6201903316165,75.77921036769689,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,Y_vertical,OptiTrack vertical Y,-11.08542995416102,95.93725390646208,180.36894853783687,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,Z,OptiTrack horizontal Z,-8.57969464326134,31.06768890098959,55.338684262568876,,,,OptiTrack frame; Y is vertical,signed bias is solved-minus-corrected-truth
raw_v4io_T4_all8,deployment raw v4-io/T4/all8,raw_replay,v4-io,T4,all8,horizontal_XZ_2d,secondary 2D horizontal summary; not the primary localization metric,,,,50.09546606431645,41.346242234764006,86.64328310604989,OptiTrack frame; horizontal plane is X/Z,2D is shown only as secondary; 3D and vertical Y remain explicit
