eval_set,n,mean_err_x_mm,mean_err_y_vertical_mm,mean_err_z_mm,mean_vector_norm_mm,rms_scatter_about_mean_mm,mean_vector_to_scatter_ratio,median_radial_component_mm,median_tangential_magnitude_mm,fraction_radial_outward
all8,24,23.728763699527466,-6.218990870715952,-8.788862891268712,26.057133094022085,135.7724179896798,0.1919177214329549,63.438247628091275,40.14856163345773,0.8333333333333334
noG,24,34.50837801363086,-13.32643530757789,0.5510121594494312,36.99629232150921,136.18913458314802,0.27165377351687137,60.901428178791406,45.82052947213622,0.7916666666666666
