pair,measured_median_mm,optitrack_true_mm,pair_bias_mm,common_endpoint_bias_mm,delaycal_pair_predicted_bias_mm,delaycal_pair_residual_mm
A-B,2895.0,2665.0643575793506,229.9356424206494,114.9678212103247,239.41877535963724,9.483132938987836
A-C,3718.0,3414.1085019320158,303.89149806798423,151.94574903399212,262.7316037157898,-41.15989435219444
A-D,2429.0,2165.8598471827554,263.1401528172446,131.5700764086223,262.5584831973911,-0.5816696198534714
A-E,1550.0,1403.6365517390243,146.3634482609757,73.18172413048785,204.2187215457325,57.855273284756805
A-F,3322.0,3074.024420727174,247.97557927282605,123.98778963641303,202.54351355027185,-45.4320657225542
A-G,4020.5,3767.728966818911,252.77103318108902,126.38551659054451,201.29696898026114,-51.47406420082788
A-H,2688.0,2517.200327023951,170.7996729760489,85.39983648802445,242.10896064773362,71.30928767168473
B-C,2407.0,2179.133082966119,227.86691703388078,113.93345851694039,205.51721326752556,-22.34970376635522
B-D,3670.0,3440.4790686576366,229.52093134236338,114.76046567118169,205.34409274912687,-24.17683859323651
B-E,3135.0,2955.9630981271275,179.03690187287248,89.51845093643624,147.00433109746825,-32.032570775404224
B-F,1620.0,1392.3829235074895,227.61707649251048,113.80853824625524,145.3291231020076,-82.28795339050288
B-G,2745.0,2723.8749268103784,21.125073189621617,10.562536594810808,144.0825785319969,122.95750534237527
B-H,3902.0,3745.511858044666,156.48814195533396,78.24407097766698,184.89457019946934,28.406428244135384
C-D,2887.0,2636.9464765477865,250.05352345221354,125.02676172610677,228.65692110527945,-21.39660234693409
C-E,3885.0,3718.707957323416,166.29204267658406,83.14602133829203,170.31715945362083,4.0251167770367715
C-F,2672.0,2566.2905209564447,105.70947904355535,52.854739521777674,168.64195145816018,62.93247241460483
C-G,1618.0,1516.099659211748,101.90034078825192,50.95017039412596,167.39540688814947,65.49506609989754
C-H,3347.0,3091.2461466183227,255.75385338167735,127.87692669083867,208.20739855562192,-47.546454826055424
D-E,2793.0,2660.813628381067,132.1863716189332,66.0931858094666,170.14403893522214,37.95766731628893
D-F,3850.0,3737.3010362894142,112.69896371058576,56.34948185529288,168.4688309397615,55.76986722917573
D-G,3160.0,3000.5453633518955,159.4546366481045,79.72731832405225,167.22228636975078,7.767649721646279
D-H,1659.0,1395.6256482556894,263.3743517443106,131.6871758721553,208.03427803722326,-55.340073707087356
E-F,2762.0,2682.8449302921804,79.15506970781962,39.57753485390981,110.12906928810287,30.973999580283248
E-G,3711.0,3487.680430943736,223.31956905626384,111.65978452813192,108.88252471809216,-114.43704433817169
E-H,2333.0,2198.9630417696453,134.03695823035468,67.01847911517734,149.6945163855646,15.657558155209927
F-G,2374.0,2246.903339678349,127.09666032165114,63.54833016082557,107.2073167226315,-19.88934359901964
F-H,3660.0,3509.9137150979086,150.0862849020914,75.0431424510457,148.01930839010396,-2.066976511987434
G-H,2880.0,2722.8074671540066,157.19253284599336,78.59626642299668,146.77276382009325,-10.41976902590011
