eval_set,ID,location,height,facing,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,distance_from_anchor_centroid_mm,distance_from_anchor_centroid_m,radial_component_mm,radial_outward,tangential_magnitude_mm,radial_unit_x,radial_unit_y_vertical,radial_unit_z
all8,ID01,edge,low,ABEF,-542.215344349341,182.54280058407932,-383.3240609304319,73.00886461753146,-118.66719384971678,-1.098165701777987,139.3319890650236,901.6813496563984,0.9016813496563985,67.31711553549893,True,121.99102070560828,-0.47634258572944094,-0.8585877791926524,-0.18953829808674377
all8,ID02,edge,mid,ABEF,-543.22998,1105.589,-259.92136,17.666313714292528,-41.029595815221,23.60395708865661,50.523986019071614,458.00703043841764,0.4580070304384176,-32.39075222796403,False,38.7751509779393,-0.9399940014848462,0.32504656474922183,-0.10371117546936155
all8,ID03,edge,high,ABEF,-554.00287,1625.56145,-256.2951,-27.161233335890984,368.281883884712,-14.529047756251488,369.5678176231023,802.5103248421703,0.8025103248421703,322.6718633727845,True,180.1755821698315,-0.5498954188991773,0.8334423136631193,-0.05467118134415116
all8,ID04,edge,low,BCGF,-321.178815,182.16379,479.93382,82.79978879640726,-271.1109354745772,16.0193307248544,283.92527769732345,1059.5971493236866,1.0595971493236866,192.35515373989818,True,208.8373964241137,-0.1967471282676277,-0.7309868647904312,0.6534131702240914
all8,ID05,edge,mid,BCGF,-184.9818897969324,1103.586616559577,473.7040289339493,24.130810033043677,5.67843716167431,45.84863502871309,52.12137733642562,705.3810176635394,0.7053810176635394,43.306833327448146,True,29.002692333552222,-0.10246344774960663,0.20821545343120246,0.9727011703641065
all8,ID06,edge,high,BCGF,-193.231255,1684.95255,476.52298,3.031940572150205,192.7527222106487,2.437723906939709,192.79197877789164,1005.7123587372721,1.005712358737272,140.99956285117167,True,131.48334630999284,-0.08006776047885483,0.7241008381256667,0.6850307511036332
all8,ID07,edge,low,CDHG,352.14755,211.565355,53.795866,1.0837690590632292,-154.47050291934073,40.4421959143953,159.68056249245168,917.719389776331,0.917719389776331,137.7042774839505,True,80.84190745231665,0.5065313797753531,-0.8119584716485176,0.290085162704128
all8,ID08,edge,mid,CDHG,391.90054,1132.2804,-71.53192899999999,68.15339401716881,15.287976922230428,-29.567531317652534,75.8475198187421,552.5401877883373,0.5525401877883374,59.55937972068362,True,46.96303386645602,0.9132487914947838,0.31774161546101715,0.2549841380116421
all8,ID09,edge,high,CDHG,408.80994,1568.1853500000002,-62.4257885,41.25658038759673,12.034950794144152,-14.882481579349315,45.48003654193094,817.5408558801957,0.8175408558801958,32.588806104250374,True,31.723862320892565,0.6379082525343835,0.7479381091195354,0.183471104741927
all8,ID10,edge,low,ADHE,65.499245,238.64973,-938.19342,35.43025561669921,-102.4201167889362,-50.11805095500426,119.40268995149306,1036.3981733342628,1.0363981733342629,112.15046172447727,True,40.97897390905411,0.17194681381643517,-0.6928472826373913,-0.7002834684328618
all8,ID11,edge,mid,ADHE,-63.9057945,1133.4998500000002,-956.990295,-39.152862106167234,19.606275010129597,-58.35524712812162,72.95675087516936,766.8231758128921,0.7668231758128922,58.69011807455375,True,43.337714968102134,0.06363960530831353,0.23054136527315425,-0.9709792374372338
all8,ID12,edge,high,ADHE,-43.6886845,1590.1300500000002,-956.35754,81.07398498087932,116.4343175109093,-54.308601989197086,151.91894412788716,979.4994874142343,0.9794994874142343,122.25517423069678,True,90.18335743780044,0.07046194014067128,0.646671764522452,-0.759506908435355
all8,ID13,center,mid,ABEF,-189.628155,1139.0976,-197.96616,30.91448598649549,-55.12972491039659,1.690931254470172,63.22856364818493,198.4671527963758,0.1984671527963758,-62.520392988529075,False,9.436721971768462,-0.3875806911429864,0.9189541407999204,0.0728319638606918
all8,ID14,center,mid,BCGF,-198.69532,1132.6278,-194.690585,21.037937143350945,-38.9084614342521,15.91440378458941,47.00778040119766,196.6054014938295,0.1966054014938295,-42.57944618751427,False,19.9178859473539,-0.43736947508382074,0.8947486210368488,0.09018230102165588
all8,ID15,center,mid,CDHG,-200.165335,1132.2551,-184.312585,33.23517308438758,-57.356848967742735,-36.61658103055368,75.73083163299314,198.12466536771635,0.19812466536771633,-70.68457507445783,False,27.181789977263993,-0.44143527555076023,0.8860063513505553,0.14187192416366434
all8,ID16,center,mid,ADHE,-184.854655,1122.0572,-185.780155,1.2709325038684938,21.11886129720256,6.22674404357582,22.05434001062096,182.35420477000045,0.18235420477000044,19.555458314585312,True,10.196958537259675,-0.3956505216921073,0.906706878975136,0.14609346427520806
