layout,tag_method,kind,keep_k,drop_category,dropped_lower_count,dropped_upper_count,drop_sets,d3_std_mm_median,d3_std_mm_p95_over_drop_sets,z_std_mm_median,residual_rms_median_mm
v3-lite,T2,static,4,upper_heavy,1,3,16,69.00923347473145,104.23897647857666,39.571834564208984,34.13277006149292
v3-lite,T3,static,7,lower_heavy,1,0,4,65.50292015075684,68.8820728302002,47.12316036224365,78.82450485229492
v3-lite,T3,static,7,upper_heavy,0,1,4,62.502525329589844,73.29456634521485,40.02761459350586,79.03573226928711
v3-lite,T3,static,6,balanced,1,1,16,72.20623588562012,91.83533573150635,47.83757209777832,72.90315055847168
v3-lite,T3,static,6,lower_heavy,2,0,6,84.86874198913574,90.48415660858154,62.60067367553711,73.77485752105713
v3-lite,T3,static,6,upper_heavy,0,2,6,63.59670162200928,75.1567735671997,44.23160266876221,74.30898189544678
v3-lite,T3,static,5,lower_heavy,2,1,24,92.85054588317871,129.33263988494872,61.305378913879395,56.820791721343994
v3-lite,T3,static,5,lower_heavy,3,0,4,103.97959518432617,108.84821319580078,71.69507598876953,50.63227939605713
v3-lite,T3,static,5,upper_heavy,0,3,4,60.20353126525879,69.25210275650024,37.94349193572998,68.23771381378174
v3-lite,T3,static,5,upper_heavy,1,2,24,72.34128189086914,107.83925514221191,49.2352352142334,59.941680908203125
v3-lite,T3,static,4,balanced,2,2,36,106.6583480834961,140.03335762023926,60.85615539550781,34.79417276382446
v3-lite,T3,static,4,lower_heavy,3,1,16,115.34866714477539,163.04363822937012,77.19506454467773,32.98986530303955
v3-lite,T3,static,4,lower_heavy,4,0,1,110.66958999633789,110.66958999633789,81.26480484008789,22.90717601776123
v3-lite,T3,static,4,upper_heavy,0,4,1,50.287044525146484,50.287044525146484,31.587045669555664,49.204490661621094
v3-lite,T3,static,4,upper_heavy,1,3,16,66.43486881256104,104.76634883880615,39.37596130371094,34.06725072860718
v3-lite,T4,static,7,lower_heavy,1,0,4,65.50292015075684,68.8820728302002,47.12316036224365,78.82450485229492
v3-lite,T4,static,7,upper_heavy,0,1,4,62.502525329589844,73.29456634521485,40.02761459350586,79.03573226928711
v3-lite,T4,static,6,balanced,1,1,16,72.20623588562012,91.83533573150635,47.83757209777832,72.90315055847168
v3-lite,T4,static,6,lower_heavy,2,0,6,84.86874198913574,90.48415660858154,62.60067367553711,73.77485752105713
v3-lite,T4,static,6,upper_heavy,0,2,6,63.59670162200928,75.1567735671997,44.23160266876221,74.30898189544678
v3-lite,T4,static,5,lower_heavy,2,1,24,92.85054588317871,129.33263988494872,61.305378913879395,56.820791721343994
v3-lite,T4,static,5,lower_heavy,3,0,4,103.97959518432617,108.84821319580078,71.69507598876953,50.63227939605713
v3-lite,T4,static,5,upper_heavy,0,3,4,60.20353126525879,69.25210275650024,37.94349193572998,68.23771381378174
v3-lite,T4,static,5,upper_heavy,1,2,24,72.34128189086914,107.83925514221191,49.2352352142334,59.941680908203125
v3-lite,T4,static,4,balanced,2,2,36,106.6583480834961,140.03335762023926,60.85615539550781,34.79417276382446
v3-lite,T4,static,4,lower_heavy,3,1,16,115.34866714477539,163.04363822937012,77.19506454467773,32.98986530303955
v3-lite,T4,static,4,lower_heavy,4,0,1,110.66958999633789,110.66958999633789,81.26480484008789,22.90717601776123
v3-lite,T4,static,4,upper_heavy,0,4,1,50.287044525146484,50.287044525146484,31.587045669555664,49.204490661621094
v3-lite,T4,static,4,upper_heavy,1,3,16,66.43486881256104,104.76634883880615,39.37596130371094,34.06725072860718
v4-io,T1,static,7,lower_heavy,1,0,4,70.24056243896484,72.05188236236572,48.2217321395874,77.28277778625488
v4-io,T1,static,7,upper_heavy,0,1,4,61.12816905975342,69.7178165435791,42.80631637573242,77.1739330291748
v4-io,T1,static,6,balanced,1,1,16,75.22067260742188,93.54028034210205,49.806678771972656,67.02158546447754
v4-io,T1,static,6,lower_heavy,2,0,6,87.69958114624023,92.65052509307861,63.86297035217285,69.65633201599121
v4-io,T1,static,6,upper_heavy,0,2,6,69.09780502319336,74.64677429199219,44.51656723022461,70.43159294128418
v4-io,T1,static,5,lower_heavy,2,1,24,101.34182548522949,138.06451530456542,66.87822341918945,57.85664129257202
v4-io,T1,static,5,lower_heavy,3,0,4,110.71514511108398,116.94859085083007,76.42824172973633,55.70137119293213
v4-io,T1,static,5,upper_heavy,0,3,4,67.13195323944092,74.71644973754883,37.91584300994873,60.790836811065674
v4-io,T1,static,5,upper_heavy,1,2,24,74.89567184448242,107.65546092987059,49.07339382171631,58.186299324035645
v4-io,T1,static,4,balanced,2,2,36,112.01052856445312,163.80841445922852,72.14567756652832,35.48103094100952
v4-io,T1,static,4,lower_heavy,3,1,16,126.1158218383789,173.14027976989746,84.00537872314453,32.23351740837097
v4-io,T1,static,4,lower_heavy,4,0,1,149.19031524658203,149.19031524658203,83.79511642456055,24.395041465759277
v4-io,T1,static,4,upper_heavy,0,4,1,46.6449031829834,46.6449031829834,28.0681734085083,46.318331718444824
v4-io,T1,static,4,upper_heavy,1,3,16,68.46193790435791,103.6221981048584,39.870553970336914,32.77237105369568
v4-io,T2,static,7,lower_heavy,1,0,4,70.12503623962402,72.36377239227295,48.621541023254395,77.30434989929199
v4-io,T2,static,7,upper_heavy,0,1,4,61.07009792327881,69.9106309890747,43.534958839416504,77.15682601928711
