capture_id,tag,n_samples,opti_circle_radius_mm,angular_speed_deg_s_median,angular_speed_deg_s_p95,abs_radius_error_p50_mm,abs_radius_error_p95_mm
R01,BS2DCE,1201,426.48582848840823,95.00996679269068,99.12082074644721,45.22511277323866,138.00264892032402
R01,BSDC91,1200,553.5374362567889,94.99786640531997,99.20681637168391,36.71070132037892,139.71773017090706
R02,BS2DCE,1201,426.5872672453299,86.01727343481309,98.42872008061893,45.840123217577684,128.94226351783033
R02,BSDC91,1200,553.7579522299013,86.28914456975616,97.52563148139856,53.24840049119916,134.86148882132503
R03,BS2DCE,1050,426.572346201647,87.70762700590748,98.16628361717784,65.68016338617008,151.80885237104508
R03,BSDC91,1200,553.5575033917082,87.95108822634577,97.5376237718197,54.80255188982537,141.82706059688658
R04,BS2DCE,1200,426.43337333690476,86.6805473605806,98.41673313480067,59.17278692707947,154.09517224634885
R04,BSDC91,1200,553.4706845883857,86.59369199793035,97.26347013008463,60.20356574396288,150.86361194616245
R05,BS2DCE,1200,426.4908337551261,87.61553983746961,98.40646762272841,57.895085605717185,211.59508763431631
R05,BSDC91,1201,553.5314134827562,87.51664641584217,97.4254564365186,48.637423104652726,176.5484479409405
R06,BS2DCE,1200,426.6440400664725,72.11910922305408,98.6240660312769,48.535599216053214,135.17118693324028
R06,BSDC91,1201,553.9352277035896,73.06448008325974,95.90846243158424,46.83399550794155,165.6324173253081
R07,BS2DCE,1200,426.63347228151616,70.32161357659481,98.09277554118707,62.24322068178569,154.80885513898207
R07,BSDC91,1201,553.7100883386518,71.2544064030481,95.0788945596194,69.64389001503207,131.8525094158889
R08,BS2DCE,1201,426.4998438737726,71.30998719446376,97.34807111489826,47.28917974199402,151.89538915005102
R08,BSDC91,1200,553.6862544616728,72.07390415052595,94.70867622018294,34.61991668525354,106.79086955590364
R09,BS2DCE,1200,426.5535566940207,71.56600705843792,98.51331249082314,59.96825446113954,192.36290180318562
R09,BSDC91,1200,553.6949651923159,72.54475130470767,96.10701609836559,57.63269319257316,158.2491669985146
R10,BS2DCE,1200,426.71442181080937,69.42136088988983,90.72244373312014,63.05325339934018,142.19515302452066
R10,BSDC91,1200,553.8753944619384,68.568130666506,91.88016697658696,51.21210120085243,143.06457026066713
R11,BS2DCE,1201,426.8423177244342,69.6301303216274,90.67506327060373,64.6203156221917,152.84214747808426
R11,BSDC91,1200,553.6302994130274,69.00278158213155,91.63729274059453,62.01341738892742,149.5938463003629
R12,BS2DCE,1200,426.60555995623395,70.5409437315242,89.92102805842677,47.16469038087811,154.61811684843525
R12,BSDC91,1200,553.7074846405563,69.81452678026,90.9438175594106,45.89667547244139,134.60456002595572
R13,BS2DCE,1201,426.619674136456,69.51390854614834,91.0413643869908,40.72902666482872,125.37184952510569
R13,BSDC91,1200,553.772122596342,68.58887381882454,92.23183897368914,49.058995747463996,134.17071953050043
R14,BS2DCE,1201,426.68697811414734,68.5746070558491,90.57837282930886,48.33919892745769,128.56051416594727
R14,BSDC91,1200,553.6911689203672,67.86325211433314,91.85536087949228,43.109893731243574,124.74034422593598
R15,BS2DCE,1200,426.7388268270692,68.2662866574774,91.51219343396014,54.38681342904067,140.95742058654844
R15,BSDC91,1200,553.7239696599694,67.35468607927479,92.47236984990096,62.08974155661838,145.9270616479407
R16,BS2DCE,1201,426.7546691537481,68.615332604909,90.80536198612772,50.00317393720252,155.94957982194433
R16,BSDC91,1200,553.8570986645638,67.22652830681508,91.6619437262034,40.86366488045087,147.6668991546915
R17,BS2DCE,1201,426.77989847218157,68.87454490737977,91.01282263150316,45.76217274232903,121.77284045411153
R17,BSDC91,1200,553.9448837938895,67.81898199091333,92.28944565473574,56.813080543720105,142.05207526205155
