task,status,elapsed_s,key_finding,mean_cpu_percent,max_gpu_percent,peak_vram_mb
N1,ok,41.5929382180002,adversarial P(V5<V4)=0.30,14.048780487804878,28.0,336.0
N2,ok,5.479885470000227,best 82.6 mm,14.216666666666667,26.0,232.0
N3,ok,0.17902185000002646,Student-t 95% coverage 0.46,0.0,0.0,18.0
N4,ok,0.042554608000045846,fallback best median 47.5 mm,13.2,nan,nan
N5,ok,0.38535937000006015,winner V5_diag_sweep 46.8 mm,13.7,nan,nan
N6,ok,3.303968004000126,median CI 54.3-63.7 mm,13.675,nan,nan
N7,ok,1.357176420000087,10 figures generated,14.0,nan,nan
N8,ok,0.016607041000042955,7 table sets generated,14.8,nan,nan
N9,ok,0.00036927299970557215,paper outline written,23.8,nan,nan
