cell,layout,correction,range_percentile,dtag_mode,d_tag_mm,median_3d,p95,rmse,fail_rate
V5_diag_sweep,L_V5,C_V5,30,sweep,48.0,46.77193255030831,135.6914350993539,75.11483047443497,0.0
V4_Cnone,L_V4,C_none,30,sweep,42.0,50.77386380842047,122.16970605503212,81.31004424590596,0.0
Vicon_diag,L_Vicon,C_Vicon_cm,30,LOO,28.264963070298155,53.02162126707562,160.8526299526798,80.78613141842634,0.0
V4_diag,L_V4,C_V4,30,LOO,18.236186539746907,53.24654705210094,115.2157164641176,76.47084779248382,0.0
V5_diag,L_V5,C_V5,30,LOO,32.98564490395356,59.84219585576865,158.76148594992782,81.40260074045545,0.0
V4_CV5,L_V4,C_V5,30,D0,0.0,80.62824404080901,140.85295997977215,89.28969429111393,0.0
