config,percentile,d_tag_recal_mm,d_tag_recal_median_mm,loo_median_3d_mm,loo_p95_3d_mm,loo_rmse_3d_mm,n_positions,fail_rate
V5_CV5,10,10.841253816537751,11.011745883511663,55.22557115525646,161.3649084781497,80.41743654115918,24,0.0
V5_CV5,20,24.471930210277996,24.564492176531036,53.78490353265596,157.80851488547134,80.31210214005421,24,0.0
V5_CV5,25,29.12235239564368,29.26612671698667,57.20992796565562,157.89698063058924,80.6599649057936,24,0.0
V5_CV5,30,32.98564490395356,33.09183514785525,59.84219585576865,158.76148594992782,81.40260074045545,24,0.0
V5_CV5,40,41.80629373885892,41.92271692136148,62.9513674931918,155.5954229669374,83.88197560430133,24,0.0
V5_CV5,50,49.51853383351864,49.621032516254864,67.80926689927432,162.37847646920704,87.16995000854118,24,0.0
V5_CV5,60,55.6455974989085,55.505889421697496,76.76979590733325,166.61531002102427,90.79616952397608,24,0.0
V5_CV5,75,68.17251704590265,67.99374188226503,82.05257476458124,169.6595358762799,94.88608536463992,24,0.0
V5_CV5,90,87.8805386700979,88.10062515710806,84.93072994675397,174.48776384668693,101.32590192979798,24,0.0
V4_CV4,10,-2.87809429993549,-2.3093971609880413,53.97661347443389,117.70030978130696,76.9598229849189,24,0.0
V4_CV4,20,10.031655147855842,10.210650091556737,51.967964830439904,115.52607644917884,76.11673493910091,24,0.0
V4_CV4,25,15.130210168502488,15.486481394964668,52.05085122247249,114.07372580917364,76.05454932034664,24,0.0
V4_CV4,30,18.236186539746907,18.258284413046937,53.24654705210094,115.2157164641176,76.47084779248382,24,0.0
V4_CV4,40,25.02398490824908,25.10653903625137,57.92698312609331,114.03348520004089,78.29605931986178,24,0.0
V4_CV4,50,33.14139429103798,33.08137482630481,62.177101047090986,120.92158335253858,80.91436060433148,24,0.0
V4_CV4,60,42.22811834252048,42.693256050996325,68.68144026075313,143.0857498994544,84.41550536129908,24,0.0
V4_CV4,75,54.3492066130672,54.090045115667024,76.5299788410407,157.20222934357594,88.64886082922553,24,0.0
V4_CV4,90,72.45058007558802,72.38501050812997,82.64606388484958,167.7511612045003,95.99485927924133,24,0.0
