held_out_tier,n_train,n_eval,d_tag_mm,median_3d,rmse,degradation_vs_full_loo
LOW,16,8,35.89955176603037,61.54033048811584,96.02101688855448,5.529057576530789
MID,16,8,33.09183514785525,48.05186353191061,54.43803233730237,-7.95940937967444
HIGH,16,8,28.213624606910827,58.28437472516744,84.37841599811178,2.273101813582386
