tag_delay_mode,median_3d_mm,p95_3d_mm,rmse_3d_mm,fail_rate
D0,126.39393744609748,276.2485855085733,167.2739952788204,0.0
D_LOO_CV,101.48477739653228,214.3693133943896,126.22614768446928,0.0
