pipeline,range_percentile,layout_source,dtag_mode,d_tag_mm,median_3d,p95,rmse,vertical_slope,notes
V5_p50_layout_p50_ranges_DLOO,50,V5_p50_existing,fixed_p50_LOO,49.621,67.80925857328509,160.50864196755103,86.39989161399005,76.02852718542175,
V5_p50_layout_p30_ranges_Dtag_p50,30,V5_p50_existing,fixed_p50_LOO_on_p30_ranges,49.621,47.49612990224546,135.63321030690597,75.0299846852894,38.61266182555414,
V5_p50_layout_p30_ranges_Dtag_p30_LOO,30,V5_p50_existing,LOO_from_p30_range_residuals,32.98564490395356,59.84219585576865,158.76148594992782,81.40260074045545,73.26735593070204,fallback: full p30 anchor self-calibration was not rerun
V5_p50_layout_p30_ranges_invRMS_Dtag_p30_LOO,30,V5_p50_existing,LOO_from_p30_range_residuals,32.98564490395356,56.01127291158505,143.12004226914806,79.48190537495643,71.67176027143124,fallback best-practice; full p30 anchor self-calibration requires invoking anchor calibration pipeline source
