iteration,d_tag_mm,median_3d,rmse,metric,mean,ci95_low,ci95_high
0,35.89955176603037,54.459487696083166,77.80579298983285,,,,
1,27.17805136127427,60.78220276677624,83.09884708782188,,,,
2,33.09183514785525,56.0547400880275,79.22931179321652,,,,
3,33.140232922561026,56.01793707495203,79.20331780250142,,,,
4,33.09183514785525,56.0547400880275,79.22931179321652,,,,
5,22.82781803803107,64.00095221098415,86.55105810319766,,,,
6,30.549727403436066,58.03304142025368,80.73550848826167,,,,
7,38.36522324119701,55.05349443781279,76.6919350988304,,,,
8,32.61177600071731,56.42153245391072,79.49263296525379,,,,
9,35.41545039397018,54.32412249395695,78.0347576748111,,,,
10,38.40605454671773,55.08923398091078,76.67473569623813,,,,
11,22.82781803803107,64.00095221098415,86.55105810319766,,,,
12,32.415723263206274,56.572237978727514,79.60336396034647,,,,
13,33.106836754460645,56.043329008899924,79.22124440614598,,,,
14,37.55757480583289,54.357534038898194,77.0468777865799,,,,
15,28.213624606910827,59.92580005412913,82.33659000897227,,,,
16,33.169522655454465,55.995679974355696,79.18763274058341,,,,
17,33.09183514785525,56.0547400880275,79.22931179321652,,,,
18,35.3028934909079,54.40624338576363,78.0889846209208,,,,
19,38.987419732035704,55.60353984224848,76.43722028306912,,,,
20,27.17805136127427,60.78220276677624,83.09884708782188,,,,
21,34.471114696067254,55.018506984373275,78.50649946054554,,,,
22,27.640811123616864,60.3964695622455,82.75352377226903,,,,
23,26.155459002105793,61.39833154072385,83.86296383285172,,,,
24,33.09183514785525,56.0547400880275,79.22931179321652,,,,
25,34.50040442896069,54.99678551091991,78.49137178424347,,,,
26,32.917888114998874,56.187279840912126,79.32352096588166,,,,
27,33.18452426205986,55.98428490230008,79.1796126596123,,,,
28,30.079620466681035,58.40860573146273,81.04318774372496,,,,
29,33.987013324007066,55.37922812124812,78.76065529042368,,,,
30,28.213624606910827,59.92580005412913,82.33659000897227,,,,
31,30.45244357924983,58.11051161803029,80.79833967560606,,,,
32,32.51449217653108,56.49624845328972,79.54723627343017,,,,
33,36.935378314994196,53.970625423902746,77.33580815409547,,,,
34,41.60299013023695,56.40506606054964,75.48922596507177,,,,
35,26.978060990549103,60.908500858574854,83.24854818118315,,,,
36,32.78572303357369,56.288261451910664,79.39597936584846,,,,
37,39.380379349753554,55.9568048177061,76.2845384990968,,,,
38,39.784255803831535,56.324481393555104,76.13375791890884,,,,
39,35.89955176603037,54.459487696083166,77.80579298983285,,,,
40,35.3028934909079,54.40624338576363,78.0889846209208,,,,
41,33.18452426205986,55.98428490230008,79.1796126596123,,,,
42,27.640811123616864,60.3964695622455,82.75352377226903,,,,
43,28.213624606910827,59.92580005412913,82.33659000897227,,,,
44,33.18452426205986,55.98428490230008,79.1796126596123,,,,
45,36.049503621601005,54.605417123465344,77.73599221275992,,,,
