variant,median_3d_mm,p95_3d_mm,rmse_3d_mm,median_vert_mm
V4 production,71.87489868113639,175.9963096185349,110.3731093480212,57.89044530394496
V5 baseline,67.80925857328509,160.50864196755103,86.39989161399005,56.09309910783664
V5 improved,56.01127291158505,143.12004226914806,79.48190537495643,45.42852100394393
V4 improved,54.918375844369336,154.78379958349888,79.58617506422262,41.02644168071677
Vicon improved,56.327823937608464,147.9477158373447,81.78860924977711,38.18829265432808
