likelihood,nominal_coverage,actual_coverage,n_positions
gaussian,0.5,0.08333333333333333,24
gaussian,0.9,0.2916666666666667,24
gaussian,0.95,0.3333333333333333,24
student_t,0.5,0.16666666666666666,24
student_t,0.9,0.3333333333333333,24
student_t,0.95,0.4583333333333333,24
gaussian_exp_tail,0.5,0.125,24
gaussian_exp_tail,0.9,0.2916666666666667,24
gaussian_exp_tail,0.95,0.3333333333333333,24
