anchor_label,anchor_id,layer,median_abs_rho_p30,median_abs_rho_p50,improvement_mm,nlos_spike_rate
A,0,lower,52.27358173009844,36.68636898387911,15.587212746219327,0.1666666666666666
B,1,lower,56.21798294269171,46.21735558862462,10.000627354067092,0.125
C,2,lower,95.0560502426695,85.76038293762602,9.29566730504348,0.125
D,3,lower,40.606434354038136,36.28799604428434,4.318438309753795,0.1666666666666666
E,4,upper,42.01987030026636,35.92899804809008,6.090872252176276,0.1666666666666666
F,5,upper,39.69421261815695,52.9318594694064,-13.237646851249451,0.2083333333333333
G,6,upper,37.789386700085934,28.27824824732716,9.51113845275878,0.0833333333333333
H,7,upper,26.694474141110383,23.40859747184641,3.2858766692639776,0.0833333333333333
