variant_id,loss,weighting,dtag_model,delay_source,loo_median_3d,loo_rmse,loo_p95,loo_dtag_mean,loo_dtag_median
0,Cauchy50,inverse_rho_rms,scalar,V5_common_mode,82.60393913867526,109.66676892112066,193.71305955099604,49.518580277760826,49.6210823059082
1,Cauchy50,inverse_rho_rms,elevation_2params,V5_common_mode,84.55750211793114,110.51298545262307,195.0456060035375,49.259685357411705,49.50445556640625
3,Cauchy50,NLOS_probability_based,scalar,V5_common_mode,84.73558008884623,109.99859494059474,188.2378553299005,49.518580277760826,49.6210823059082
2,Cauchy50,inverse_rho_rms,scalar,V5_no_regularization,85.20823500118277,112.55952023425353,202.30536479116688,50.207475662231445,50.157901763916016
5,Cauchy50,inverse_rho_rms,elevation_2params,V5_no_regularization,86.55517728118014,113.52683908500438,204.5559619141764,49.987152099609375,50.165550231933594
7,StudentT3,inverse_rho_rms,scalar,V5_common_mode,86.77186679899837,110.69693279131188,193.79356985701693,49.518580277760826,49.6210823059082
30,baseline,uniform,scalar,V4_CV4,86.85245731205825,115.92592159148425,202.57570666138696,33.14134963353475,33.081336975097656
6,Cauchy50,NLOS_probability_based,elevation_2params,V5_common_mode,86.99786288032341,110.84152212556297,189.67452370104212,49.259685357411705,49.50445556640625
4,Cauchy50,NLOS_probability_based,scalar,V5_no_regularization,87.42190063869592,112.68082150645296,198.31165428726845,50.207475662231445,50.157901763916016
12,StudentT3,inverse_rho_rms,scalar,V5_no_regularization,87.80701633130525,113.27142683407716,202.9344922711499,50.207475662231445,50.157901763916016
9,StudentT3,NLOS_probability_based,scalar,V5_common_mode,88.0821666869758,113.27056711833633,200.3414661516742,49.518580277760826,49.6210823059082
14,Cauchy50,uniform,scalar,V5_common_mode,88.52527558169919,111.29850295240404,194.25825130297488,49.518580277760826,49.6210823059082
11,StudentT3,inverse_rho_rms,elevation_2params,V5_common_mode,89.02820039436767,111.57022766167577,195.19050676947344,49.259685357411705,49.50445556640625
15,Huber50,inverse_rho_rms,scalar,V5_common_mode,89.20120726392047,111.25063609516206,195.45677885197625,49.518580277760826,49.6210823059082
22,Cauchy50,inverse_range_std,scalar,V5_no_regularization,89.21448875823748,114.00391096164442,194.72149109927372,50.207475662231445,50.157901763916016
17,Huber100,inverse_rho_rms,scalar,V5_common_mode,89.31385859357891,111.81349193900144,195.64789724967704,49.518580277760826,49.6210823059082
8,Cauchy50,NLOS_probability_based,elevation_2params,V5_no_regularization,89.36569530376542,113.65646221139727,200.73852669174823,49.987152099609375,50.165550231933594
19,L1,inverse_rho_rms,scalar,V5_common_mode,89.54996381932676,113.08173780782188,196.40825279738561,49.518580277760826,49.6210823059082
20,L2,inverse_rho_rms,scalar,V5_common_mode,89.54996381932676,113.08173780782188,196.40825279738561,49.518580277760826,49.6210823059082
21,Cauchy50,inverse_range_std,scalar,V5_common_mode,89.68013558123775,112.12299290893638,194.6767619471838,49.518580277760826,49.6210823059082
10,Huber50,NLOS_probability_based,scalar,V5_common_mode,89.76911973091835,114.25922378581686,203.47666491241154,49.518580277760826,49.6210823059082
16,StudentT3,NLOS_probability_based,scalar,V5_no_regularization,89.97507421208174,115.72241251120857,205.83200793846447,50.207475662231445,50.157901763916016
18,StudentT3,NLOS_probability_based,elevation_2params,V5_common_mode,90.00079581241224,114.11817867822087,201.69710504476592,49.259685357411705,49.50445556640625
27,StudentT3,inverse_rho_rms,elevation_2params,V5_no_regularization,90.00332085681538,114.27019471892046,205.1851065906881,49.987152099609375,50.165550231933594
24,StudentT3,uniform,scalar,V5_common_mode,90.0666820399091,115.12040492431487,200.1771234250077,49.518580277760826,49.6210823059082
13,Huber100,NLOS_probability_based,scalar,V5_common_mode,90.63173791183951,115.23949123459116,208.47095737955257,49.518580277760826,49.6210823059082
28,Cauchy50,uniform,elevation_2params,V5_common_mode,90.78300825950846,112.17549405977073,195.67174518438048,49.259685357411705,49.50445556640625
25,Huber50,uniform,scalar,V5_common_mode,90.88046203078335,116.22094705678391,203.59604063000467,49.518580277760826,49.6210823059082
29,Huber50,inverse_rho_rms,elevation_2params,V5_common_mode,91.10593278562874,112.12782039653062,196.87285459824656,49.259685357411705,49.50445556640625
26,Huber100,uniform,scalar,V5_common_mode,91.73832400890743,117.25192182000882,209.1853538086028,49.518580277760826,49.6210823059082
23,Huber50,NLOS_probability_based,elevation_2params,V5_common_mode,91.83803342725687,115.10444595609573,204.82333465627664,49.259685357411705,49.50445556640625
31,baseline,uniform,scalar,V5_CV5,93.58852141194893,119.23649436431748,207.55882575001468,49.518580277760826,49.6210823059082
