row_spec,seed_id,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L18:I0:T6,,simulate_imu_prior,1.0104893060051836,,,,
R4:L18:I0:T6,,cpu_golden,21.205488418985624,,,,
R4:L18:I0:T6,,torch_gpu,3.2323024880024604,0,1,3.2323024880024604,3.2323024880024604
R4:L18:I0:T8,,simulate_imu_prior,1.0239744599966798,,,,
R4:L18:I0:T8,,cpu_golden,22.58195965801133,,,,
R4:L18:I0:T8,,torch_gpu,2.4405637710005976,0,1,2.4405637710005976,2.4405637710005976
