kind,d_tag_mm,pair,solved_dist_mm,true_dist_mm,ratio_solved_over_true
anchor_anchor,55.0,A-B,2711.030191840447,2665.0643575793506,1.0172475513134875
anchor_anchor,55.0,A-C,3485.2580604050895,3414.1085019320158,1.0208398644720316
anchor_anchor,55.0,A-D,2193.8905563868348,2165.8598471827554,1.0129420697468214
anchor_anchor,55.0,A-E,1335.2075263118716,1403.6365517390243,0.9512487578480532
anchor_anchor,55.0,A-F,3095.2142167306856,3074.024420727174,1.006893177510444
anchor_anchor,55.0,A-G,3806.840203543696,3734.3841559079856,1.0194024086999944
anchor_anchor,55.0,A-H,2506.370215096167,2517.200327023951,0.9956975566022637
anchor_anchor,55.0,B-C,2150.7731922336343,2179.133082966119,0.9869857004355682
anchor_anchor,55.0,B-D,3409.2733543852805,3440.4790686576366,0.9909298345812836
anchor_anchor,55.0,B-E,2890.342443485679,2955.9630981271275,0.9778005839507856
anchor_anchor,55.0,B-F,1385.0022303330618,1392.3829235074895,0.9946992360723332
anchor_anchor,55.0,B-G,2666.0941601505256,2658.9595708272213,1.0026832259510756
anchor_anchor,55.0,B-H,3685.9314321875577,3745.511858044666,0.9840928481566169
anchor_anchor,55.0,C-D,2643.989820574747,2636.9464765477865,1.002671022749078
anchor_anchor,55.0,C-E,3657.0427790940694,3718.707957323416,0.9834175797247249
anchor_anchor,55.0,C-F,2449.354164733979,2566.2905209564447,0.9544337029391029
anchor_anchor,55.0,C-G,1380.7365265845742,1406.489122081887,0.9816901566510563
anchor_anchor,55.0,C-H,3098.6957960802906,3091.2461466183227,1.002409917912916
anchor_anchor,55.0,D-E,2580.626378477313,2660.813628381067,0.9698636352999506
anchor_anchor,55.0,D-F,3625.1607987903144,3737.3010362894142,0.9699943257419695
anchor_anchor,55.0,D-G,2933.1923208538738,2964.7456840920613,0.9893571433774258
anchor_anchor,55.0,D-H,1410.6134074869485,1395.6256482556894,1.0107390970135806
anchor_anchor,55.0,E-F,2631.7424342907548,2682.8449302921804,0.98095212458073
anchor_anchor,55.0,E-G,3477.918867935556,3495.0033830335615,0.9951117314561291
anchor_anchor,55.0,E-H,2103.6520400305703,2198.9630417696453,0.9566563876115116
anchor_anchor,55.0,F-G,2159.599475125646,2236.1352352837457,0.9657731970095325
anchor_anchor,55.0,F-H,3360.804014018617,3509.9137150979086,0.9575175593525574
anchor_anchor,55.0,G-H,2721.0351050683494,2739.7245543524423,0.993178347343567
tag_position_position,55.0,ID01-ID02,1012.5139324355227,931.2591166472437,1.0872526392877806
tag_position_position,55.0,ID01-ID03,1655.4647823228838,1448.6469981462628,1.142766170392975
tag_position_position,55.0,ID01-ID04,865.1188658522537,891.1068734693524,0.9708362617427476
tag_position_position,55.0,ID01-ID05,1356.8213631494987,1307.835845515309,1.037455402222049
tag_position_position,55.0,ID01-ID06,1942.6222431920714,1765.8884119773306,1.1000821059904036
tag_position_position,55.0,ID01-ID07,852.783545016851,995.8921256709592,0.8563011224155507
tag_position_position,55.0,ID01-ID08,1482.3899070441564,1368.1331538530126,1.083512889713525
tag_position_position,55.0,ID01-ID09,1741.753304553689,1710.9734268750153,1.0179896877386876
tag_position_position,55.0,ID01-ID10,833.0332468309147,824.8302948308786,1.0099450178436014
tag_position_position,55.0,ID01-ID11,1322.6279728393847,1209.211430405152,1.0937938060974433
tag_position_position,55.0,ID01-ID12,1788.114210926248,1599.4367956982207,1.1179649084824648
tag_position_position,55.0,ID01-ID13,1070.1638298887221,1036.1816258823721,1.032795605671363
tag_position_position,55.0,ID01-ID14,1061.1583288703646,1027.740288927956,1.032516035716832
tag_position_position,55.0,ID01-ID15,1064.9709257681382,1028.862103544381,1.0350958812647137
tag_position_position,55.0,ID01-ID16,1100.1178440334197,1024.41083739501,1.0739029731771739
tag_position_position,55.0,ID01-ID17,352.87529103279934,366.9799311794667,0.9615656362969623
tag_position_position,55.0,ID01-ID18,253.5339382894706,294.75936770080983,0.8601386964122397
tag_position_position,55.0,ID01-ID19,371.9840596688899,445.0887793690155,0.835752499077233
tag_position_position,55.0,ID01-ID20,445.45696773201195,490.21581658138103,0.9086956247933737
tag_position_position,55.0,ID01-ID21,1571.5194269793576,1462.4663898225817,1.0745678929209481
tag_position_position,55.0,ID01-ID22,1533.4844446089153,1457.711904076739,1.0519804635746373
tag_position_position,55.0,ID01-ID23,1618.5988718656085,1459.7229169575362,1.1088398031314144
tag_position_position,55.0,ID01-ID24,1599.919950108777,1462.091476372052,1.0942680235567233
tag_position_position,55.0,ID02-ID03,647.6889938031426,520.0966772433202,1.2453242294030846
tag_position_position,55.0,ID02-ID04,1276.1563891459257,1203.913005874691,1.0600071457976707
tag_position_position,55.0,ID02-ID05,800.4842232652079,816.4263071227409,0.9804733339452077
tag_position_position,55.0,ID02-ID06,1073.247029100512,1000.2557155489109,1.0729726533095045
tag_position_position,55.0,ID02-ID07,1297.0665928109286,1303.6094878977838,0.99498093934756
tag_position_position,55.0,ID02-ID08,974.7679498293757,954.2914114577025,1.021457322287324
tag_position_position,55.0,ID02-ID09,1083.3015214633938,1076.7450455279748,1.006089162854893
tag_position_position,55.0,ID02-ID10,1283.5502963751185,1257.8505295200528,1.0204314950400917
tag_position_position,55.0,ID02-ID11,866.2379068836018,846.4253011902439,1.0234073883017172
tag_position_position,55.0,ID02-ID12,1089.067148939753,984.5531412056504,1.1061537497164635
tag_position_position,55.0,ID02-ID13,348.11214072721583,360.5489200154822,0.9655059865725507
tag_position_position,55.0,ID02-ID14,360.4571232660576,351.6962932046003,1.024910214383069
tag_position_position,55.0,ID02-ID15,343.3213838049399,352.3082718233942,0.9744914078459127
tag_position_position,55.0,ID02-ID16,351.2827549036377,366.334537627764,0.9589124661256466
tag_position_position,55.0,ID02-ID17,936.1098730956458,969.205223432391,0.9658531036187158
