case,d_tag_mm,version,tag_method,point_estimator,eval_set,n_sessions,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,signed_vertical_slope_mm_per_m,signed_vertical_intercept_mm,signed_vertical_r2,range_ssr,range_ssr_terms,range_ssr_per_term,range_sigma_rmse,ssr_frames_input,ssr_frames_solved,replay_mean_check_max_delta_mm,replay_mean_check_median_delta_mm,raw_replay_out,static_abs_out,case_log
tag_delay_045p000,45.0,v4-io-commonmode,T4,mean,all8,24,72.54049392927894,159.17084456592232,86.17049017978228,33.712279728413144,57.939219622508176,87.00678776370556,-104.95451559181458,0.4735680154514068,5171531.778993205,228265,22.655824497812652,4.759813494015564,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_045p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_045p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_045p000/case.log
tag_delay_047p000,47.0,v4-io-commonmode,T4,mean,all8,24,70.40482921941663,158.22160115946494,84.64707400461141,34.317062718072194,58.632874707975134,82.62920838321662,-100.59784494015496,0.44828770855528177,5163925.2493040785,228265,22.622501256452274,4.7563117282672165,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_047p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_047p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_047p000/case.log
tag_delay_049p000,49.0,v4-io-commonmode,T4,mean,all8,24,68.2973007307572,154.7539223677162,83.22284999731593,33.8317297680602,59.344499700255255,78.28781739212921,-96.26474679275172,0.42181058688167483,5158120.05765567,228265,22.597069448472915,4.753637496535986,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_049p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_049p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_049p000/case.log
tag_delay_050p000,50.0,v4-io-commonmode,T4,mean,all8,24,68.05486854965339,152.95476575409953,82.5487437085521,33.16610754081757,58.98345294948422,76.13104651121176,-94.10821599006533,0.4081600429517932,5155918.274435101,228265,22.587423715572257,4.7526228248802,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_050p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_050p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_050p000/case.log
tag_delay_051p000,51.0,v4-io-commonmode,T4,mean,all8,24,68.58273092690123,151.17162219699622,81.90043288629761,32.49682457132084,58.03431730720399,73.98440786617596,-91.95937958717802,0.39426488215094535,5154176.50133294,228265,22.57979322862874,4.75181999118535,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_051p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_051p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_051p000/case.log
tag_delay_053p000,53.0,v4-io-commonmode,T4,mean,all8,24,68.75025116315966,147.655743063751,80.68175966593391,31.148101102530145,58.066164177909755,69.71990610171724,-87.68538439899294,0.3658018464850076,5152122.632985452,228265,22.57079549201784,4.750873129438192,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_053p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_053p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_053p000/case.log
tag_delay_055p000,55.0,v4-io-commonmode,T4,mean,all8,24,67.18023197040051,144.21229861987445,79.56872131585543,29.794430996706105,58.09055203640577,65.493744290769,-83.43980705503215,0.3365791417767783,5151935.734457954,228265,22.569976713284795,4.750786957261375,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_055p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_055p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_055p000/case.log
tag_delay_057p000,57.0,v4-io-commonmode,T4,mean,all8,24,65.55504303027314,140.84996063776035,78.56108948889076,28.438919436689833,55.95040212420362,61.3074933732059,-79.22144909137468,0.3068312691420788,5153543.85906871,228265,22.57702170314639,4.751528354450428,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_057p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_057p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_057p000/case.log
tag_delay_059p000,59.0,v4-io-commonmode,T4,mean,all8,24,63.84933362915379,137.57647009000706,77.66324498008767,27.162492635469,53.8408536786215,57.16207671520256,-75.0351988464138,0.2767944111314946,5156962.01202092,228265,22.591996197493792,4.753103848801727,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_059p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_059p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_059p000/case.log
tag_delay_060p000,60.0,v4-io-commonmode,T4,mean,all8,24,63.51051673424902,135.96995234392446,77.25550046637564,26.752697702134927,52.509958444297695,55.10411513792965,-72.95381076433162,0.26175613282798915,5159382.766310716,228265,22.602601214863057,4.754219306559496,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_060p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_060p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_060p000/case.log
tag_delay_061p000,61.0,v4-io-commonmode,T4,mean,all8,24,63.18555073523288,134.38237185127932,76.87500097492872,26.34998361308812,50.95496171252371,53.057026330973414,-70.88116058584322,0.24677056406247377,5162275.004540161,228265,22.615271743544394,4.75555167604605,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_061p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_061p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_061p000/case.log
tag_delay_063p000,63.0,v4-io-commonmode,T4,mean,all8,24,61.42301860068012,131.2598822955481,76.19725291730451,25.834400470842663,49.13897549412104,48.99325292311536,-66.76395127472462,0.217097231721891,5169524.342101957,228265,22.647030171519756,4.758889594382261,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_063p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_063p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_063p000/case.log
