case,d_tag_mm,version,tag_method,point_estimator,eval_set,n_sessions,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,signed_vertical_slope_mm_per_m,signed_vertical_intercept_mm,signed_vertical_r2,range_ssr,range_ssr_terms,range_ssr_per_term,range_sigma_rmse,ssr_frames_input,ssr_frames_solved,replay_mean_check_max_delta_mm,replay_mean_check_median_delta_mm,raw_replay_out,static_abs_out,case_log
tag_delay_065p000,65.0,v4-io-commonmode,T4,mean,all8,24,58.92166336341475,128.21165615855665,75.63051445994434,25.56983645328494,48.77187175770359,44.9699709191035,-62.68626238517182,0.18810549404858545,5178712.945205456,228265,22.687284275756053,4.763117075587798,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_065p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_065p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_065p000/case.log
tag_delay_070p000,70.0,v4-io-commonmode,T4,mean,all8,24,59.4385538935951,121.80085041172114,74.69986795580681,27.54573633468702,44.78539318375536,35.06707272551468,-52.65507170304687,0.12083597259880374,5210460.015007401,228265,22.826364160109527,4.777694439801433,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_070p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_070p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_070p000/case.log
tag_delay_080p000,80.0,v4-io-commonmode,T4,mean,all8,24,60.06561083588939,131.97725808819285,74.87094265537777,32.15291475384795,45.79998998743099,15.865466406515212,-33.40559271166417,0.025774389858709612,5313493.236975934,228265,23.27773963146314,4.824700988814037,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_080p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_080p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_080p000/case.log
tag_delay_090p000,90.0,v4-io-commonmode,T4,mean,all8,24,58.48496130548402,142.19452706572275,77.45376875381129,35.67063617421384,43.45569941688011,-2.6014194514384976,-15.339173408531842,0.0006636928586588597,5471817.651193794,228265,23.97133880005167,4.8960533902370456,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_090p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_090p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_090p000/case.log
tag_delay_091p153,91.153,v4-io-commonmode,T4,mean,all8,24,58.59133412757494,143.212859854871,77.88867170090109,35.6303889136536,43.817216192860485,-4.687739481193659,-13.33140159268499,0.002134546178594765,5493761.694731327,228265,24.067472870266254,4.9058610732741155,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_091p153/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_091p153/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_091p153/case.log
tag_delay_095p000,95.0,v4-io-commonmode,T4,mean,all8,24,60.7393971287532,145.7753139498642,79.52545074231655,35.491227738605716,47.806848232924125,-11.590689773075699,-6.739848181408477,0.012567159037138786,5572751.268104031,228265,24.41351616806795,4.941003558799361,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_095p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_095p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_095p000/case.log
tag_delay_100p000,100.0,v4-io-commonmode,T4,mean,all8,24,64.96380030094184,146.56987276580207,82.0539027013792,38.24391543399977,52.99747783820871,-20.432963502736456,1.5735838717200614,0.03677621006059073,5688821.241929168,228265,24.92200399504597,4.992194306619682,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_100p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_100p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_100p000/case.log
tag_delay_110p000,110.0,v4-io-commonmode,T4,mean,all8,24,73.15193166829499,153.09852777955982,88.32987423029832,41.68401852279436,53.18473492881651,-37.72377937031539,17.374328895405352,0.10810673151987116,5968418.752080394,228265,26.146885208334147,5.113402507952425,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_110p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_110p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_110p000/case.log
tag_delay_120p000,120.0,v4-io-commonmode,T4,mean,all8,24,80.4940704647286,154.45328625563374,95.93699816229514,44.661596929948004,50.64183820894971,-54.52444256078603,32.17769298892888,0.19108072821115119,6314255.295145815,228265,27.66195121961674,5.259463016279964,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_120p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_120p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_120p000/case.log
tag_delay_130p000,130.0,v4-io-commonmode,T4,mean,all8,24,89.80567601192097,156.23642053513274,104.50300066849069,50.28448253999163,56.45839236752981,-70.77938497010372,46.2165398503388,0.271229763745079,6729233.383870666,228265,29.479917568925003,5.429541193224802,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_130p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_130p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_130p000/case.log
tag_delay_140p000,140.0,v4-io-commonmode,T4,mean,all8,24,99.37930174319357,163.8604127092174,113.69631458071655,57.139209192713835,67.52530850227599,-86.49316274445587,59.70769261599562,0.3424641264402052,7214793.47334228,228265,31.607094707214333,5.6220187394933445,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_140p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_140p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_140p000/case.log
tag_delay_150p000,150.0,v4-io-commonmode,T4,mean,all8,24,112.16485026850563,171.8283406574094,123.2553402028162,64.0681328186086,80.679820662363,-101.64867251873919,72.75551737981218,0.40365663532999474,7771460.053061407,228265,34.045780356434,5.834876207464388,28818,28818,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_150p000/raw_replay,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_150p000/static_abs,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/inframe_tagdelay_estimate_20260614T195544/tag_delay_150p000/case.log
