d_tag_mm,vicon_median_anchor_locked_allow_scale_false_mm,existing_sweep_median_mm,reproduction_delta_mm,tagcloud_median_allow_scale_false_mm,tagcloud_scale_allow_scale_true,tagcloud_det_allow_scale_true,tagcloud_median_allow_scale_true_mm,tagcloud_rmse_allow_scale_true_mm,frames_input,frames_solved,s_internal_median,s_internal_p25,s_internal_p75,s_internal_iqr
0.0,109.51538194751677,109.51538194751674,2.842170943040401e-14,110.86507815101265,0.8659696094912859,-0.9999999999999997,72.99196164160972,81.06717843613664,28818,28818,1.1387739425863725,1.0737667539207656,1.2078144696556659,0.13404771573490026
10.0,98.38249387924722,98.38249387924722,0.0,88.98317008548517,0.8823356106235832,-1.0000000000000013,71.15299828606044,76.58934005416208,28818,28818,1.119182600175586,1.05962171224386,1.182971632249425,0.123349920005565
20.0,86.12353903852627,86.1235390385263,-2.842170943040401e-14,72.02923142029923,0.8985331458027516,-0.9999999999999998,68.31530501792336,72.45276135733721,28818,28818,1.0987464299369742,1.0471506378528854,1.1593681809348846,0.11221754308199916
30.0,72.6068905533692,72.60689055336911,8.526512829121202e-14,68.2318512294743,0.9143772803118919,-1.0000000000000002,62.30028281186582,68.94712663159689,28818,28818,1.0779869665402182,1.0366576886579528,1.1377346700045257,0.10107698134657284
35.0,71.44605306737802,71.44605306737797,4.263256414560601e-14,66.26837336458104,0.9221365688754655,-1.0000000000000016,59.8296097640478,67.51374371430838,28818,28818,1.067561065377387,1.0303937574444404,1.1276469103013906,0.09725315285695024
37.0,72.80643246560078,72.80643246560078,0.0,63.8043162107111,0.9252045078557798,-0.9999999999999989,59.296988921922264,67.01313296985967,28818,28818,1.0652746157400454,1.0281790077283306,1.124111112539678,0.09593210481134751
39.0,73.8484059770091,73.84840597700908,1.4210854715202004e-14,61.37675669928967,0.9282498158640025,-0.9999999999999999,59.47689624949645,66.55676763642487,28818,28818,1.0634914271320262,1.0257999408407072,1.1187185785145193,0.09291863767381203
40.0,74.03889437314044,74.03889437314041,2.842170943040401e-14,60.1767804554448,0.929763806165578,-1.0000000000000004,58.84542131856209,66.3455000097558,28818,28818,1.0618191480779524,1.0252161983083221,1.115912939446444,0.09069674113812187
41.0,74.23784184851479,74.23784184851478,1.4210854715202004e-14,58.98465492620795,0.9312723943699693,-0.9999999999999997,58.22202280226858,66.14605934670257,28818,28818,1.0601534673848696,1.0243592286184762,1.1137182699054946,0.08935904128701844
43.0,74.65006864813627,74.65006864813625,1.4210854715202004e-14,56.63196713643701,0.9342731470059153,-1.0000000000000009,58.22197288077516,65.78437060964644,28818,28818,1.056663593994399,1.02179074451844,1.1094138367505346,0.08762309223209463
45.0,72.54049392927892,72.54049392927894,-1.4210854715202004e-14,55.93251546808732,0.9372520502378325,-0.9999999999999987,58.33966439965461,65.47051824654446,28818,28818,1.055891839096931,1.0194501301240955,1.107347500646255,0.08789737052215951
47.0,70.40482921941665,70.40482921941663,2.842170943040401e-14,56.055336749968916,0.940211632664885,-0.9999999999999988,57.658049509051466,65.20719313823632,28818,28818,1.0522197587780309,1.0172743661159196,1.1032418346606836,0.085967468544764
49.0,68.29730073075717,68.2973007307572,-2.842170943040401e-14,56.1961120797865,0.9431540583274647,-1.0000000000000016,56.77832445830296,64.99362592087482,28818,28818,1.0492442808645097,1.014766199183705,1.098755522907777,0.08398932372407208
50.0,68.05486854965336,68.05486854965339,-2.842170943040401e-14,55.42548367866386,0.9446186318629891,-0.999999999999999,56.34680264934214,64.90511542704624,28818,28818,1.0476812567704017,1.0141307182097106,1.0965162777975248,0.08238555958781424
51.0,68.5827309269014,68.58273092690123,1.7053025658242404e-13,54.67699451626622,0.9460782232177205,-1.000000000000001,55.92166403724893,64.82858431540407,28818,28818,1.0452131933468451,1.0133136043849078,1.0947425359330936,0.08142893154818576
53.0,68.75025116315967,68.75025116315966,1.4210854715202004e-14,54.136622238130485,0.9489847857492298,-1.0000000000000013,54.55280675208361,64.71191849348321,28818,28818,1.0428869716327143,1.0102391001962363,1.0906156293252955,0.08037652912905924
55.0,67.18023197040048,67.18023197040051,-2.842170943040401e-14,53.68950556135428,0.9518749287394244,-1.000000000000001,53.354399523257385,64.64466493392688,28818,28818,1.0401210589318168,1.0069615084319123,1.0866373027552256,0.07967579432331329
57.0,65.55504303027334,65.55504303027314,1.9895196601282805e-13,52.633914586384115,0.954747749669825,-1.0000000000000002,52.334808618854495,64.62593410131718,28818,28818,1.0382059380627393,1.0045848158378203,1.0838819958844144,0.07929718004659403
59.0,63.84933362915379,63.84933362915379,0.0,51.490119252483375,0.9576027936171265,-0.9999999999999999,51.38109028212139,64.65756658642687,28818,28818,1.0345667695597383,1.0021035266742309,1.0814742360428313,0.07937070936860047
60.0,63.51051673424906,63.51051673424902,3.552713678800501e-14,51.41224709162762,0.9590235116072396,-1.0000000000000007,50.922750380985235,64.69174571911628,28818,28818,1.0337853660925567,1.0007864844607146,1.079917307736115,0.07913082327540044
61.0,63.18555073523285,63.18555073523288,-2.842170943040401e-14,51.35399289847468,0.9604395196293285,-1.0000000000000004,50.47936734642403,64.7375690867463,28818,28818,1.0334133313413691,0.9994186177091866,1.0779396959393353,0.07852107823014864
63.0,61.42301860068006,61.42301860068012,-6.394884621840902e-14,48.8262479111892,0.9632602921310096,-1.0,49.7250764726633,64.86485847492138,28818,28818,1.0319872768453149,0.9964792325748539,1.0740152684395383,0.07753603586468438
65.0,58.921663363414694,58.92166336341475,-5.684341886080802e-14,47.63196161520088,0.9660664815956079,-1.0000000000000002,49.9020014247057,65.03932665063641,28818,28818,1.0278679855554076,0.9936300031204157,1.0701371037076832,0.07650710058726751
70.0,59.438553893595206,59.4385538935951,1.0658141036401503e-13,45.75147672498396,0.9730329709640977,-1.0000000000000007,50.4716787864205,65.67682315781931,28818,28818,1.021731773645175,0.9868623564161313,1.064766973985202,0.07790461756907063
