anchor_pair,pair_role,true_anchor_dist_mm,solved_anchor_dist_mm,single_pair_ratio,applied_scale_about_anchor_centroid,corrected_median3d_mm,corrected_p95_3d_mm,corrected_rmse_3d_mm,corrected_horizontal_median_mm,corrected_vertical_median_mm,anchor_fit_det,anchor_fit_scale
B-F,shortest_baseline,1392.3829235074895,1385.0022303330618,0.9946992360723332,1.0053290117609794,66.90313717513231,149.0303111942928,81.50110903937227,30.55850653801938,58.633995963174115,-0.9999999999999998,1.0
D-H,other,1395.6256482556894,1410.6134074869485,1.0107390970135806,0.9893750058295843,66.80147344115525,134.89719670842513,76.22470127185129,29.288149039220023,52.531941876883735,-0.9999999999999994,1.0
A-E,other,1403.6365517390243,1335.2075263118716,0.9512487578480532,1.0512497301570554,75.51699725563492,186.27992087510938,103.47567416681783,36.41294681581465,63.479709469910716,-1.0,1.0
C-G,other,1406.489122081887,1380.7365265845742,0.9816901566510563,1.0186513465831277,69.4092911191579,161.43312943828803,86.98581761002399,32.74342649922397,58.79964158532175,-0.9999999999999999,1.0
A-D,other,2165.8598471827554,2193.8905563868348,1.0129420697468214,0.9872232873593094,66.21722529647904,133.06347942138086,75.63631426967723,29.18650530039009,51.61413106961322,-0.9999999999999994,1.0
B-C,other,2179.133082966119,2150.7731922336343,0.9869857004355682,1.0131859048805758,67.72370585939552,156.28776525748708,84.62974363020419,32.52503134584767,57.23024814284497,-1.0000000000000007,1.0
E-H,other,2198.9630417696453,2103.6520400305703,0.9566563876115116,1.0453073987168,72.65939653595828,182.19258560037184,100.20797497563323,36.077834350364974,61.58810833340817,-1.0000000000000002,1.0
F-G,other,2236.1352352837457,2159.599475125646,0.9657731970095325,1.0354397938319775,69.25982186159183,175.61020862812035,95.01613407187942,36.31981101138581,58.83325965187794,-0.9999999999999998,1.0
A-H,other,2517.200327023951,2506.370215096167,0.9956975566022637,1.004321034403678,67.04035514882793,148.11217051645255,81.12335831266336,30.237741932875643,58.53541957085852,-0.9999999999999997,1.0
C-F,other,2566.2905209564447,2449.354164733979,0.9544337029391029,1.0477417100009978,73.81317570459589,183.85628135451688,101.53461711032806,36.20542899577777,62.26772200967309,-1.0000000000000002,1.0
C-D,other,2636.9464765477865,2643.989820574747,1.002671022749078,0.997336092608167,66.7708612154413,141.83861100149747,78.6644878606385,29.666824722982177,57.24945238019295,-1.0000000000000007,1.0
B-G,other,2658.9595708272213,2666.0941601505256,1.0026832259510756,0.9973239544836999,66.76903368563498,141.82785094201446,78.6604652295236,29.666244297084774,57.2456198999994,-1.0,1.0
D-E,other,2660.813628381067,2580.626378477313,0.9698636352999506,1.0310727854960033,69.18058713089768,172.78513536703656,92.82252704787338,35.717404111947864,58.85715712705962,-1.0000000000000004,1.0
A-B,median_length_baseline,2665.0643575793506,2711.030191840447,1.0172475513134875,0.9830448829380644,65.0982781912205,129.55891108506245,74.58470485873454,28.99000557043491,50.37026966360634,-1.0000000000000002,1.0
E-F,other,2682.8449302921804,2631.7424342907548,0.98095212458073,1.0194177421527184,69.37527130653407,162.1604925709572,87.32718520494586,32.774107242449055,59.0197109313541,-0.9999999999999984,1.0
G-H,other,2739.7245543524423,2721.0351050683494,0.993178347343567,1.0068685072270038,66.69363695639049,150.43848842129896,82.08873264529713,31.049761237576085,58.19759503062403,-1.0,1.0
B-E,other,2955.9630981271275,2890.342443485679,0.9778005839507856,1.0227034186863726,69.25936774335437,165.29426921337006,88.81985955952004,33.314762706903494,59.942567525696745,-1.0,1.0
D-G,other,2964.7456840920613,2933.1923208538738,0.9893571433774258,1.0107573455084602,66.72312068688115,154.026128850781,83.62888143515265,32.36409307674267,56.849951298860105,-0.9999999999999999,1.0
A-F,other,3074.024420727174,3095.2142167306856,1.006893177510444,0.9931540130925434,66.34351593310626,138.1625041827806,77.3324087187975,29.46739470395512,55.313642997476904,-0.9999999999999997,1.0
C-H,other,3091.2461466183227,3098.6957960802906,1.002409917912916,0.9975958758289886,66.81005792501375,142.06902338720164,78.75079548632654,29.67924935815595,57.3314760940776,-1.0000000000000007,1.0
A-C,other,3414.1085019320158,3485.2580604050895,1.0208398644720316,0.9795855694930079,62.82868051157462,126.71729209987608,73.80795705691489,29.247719736960924,49.53129087627133,-0.9999999999999996,1.0
B-D,other,3440.4790686576366,3409.2733543852805,0.9909298345812836,1.0091531863328638,66.38289674206763,152.5410358800972,82.98405478140408,31.78152279401046,57.40585897649544,-0.9999999999999996,1.0
E-G,other,3495.0033830335615,3477.918867935556,0.9951117314561291,1.0049122810930167,66.95986290020463,148.65034752788478,81.34425748014064,30.425803824500626,58.59324127209145,-0.9999999999999989,1.0
F-H,other,3509.9137150979086,3360.804014018617,0.9575175593525574,1.044367270586837,72.22024448484738,181.55414863448826,99.7002497579951,36.032131461896725,61.325642337907766,-1.0,1.0
C-E,other,3718.707957323416,3657.0427790940694,0.9834175797247249,1.0168620336031788,69.25679180689082,159.74042891200804,86.19914517109127,32.67184865745733,58.28584302884644,-1.0000000000000002,1.0
A-G,other,3734.3841559079856,3806.840203543696,1.0194024086999944,0.9809668796793038,63.862750763262014,127.84519781910763,74.10771274472212,29.30898045318033,49.75167275566082,-0.9999999999999997,1.0
D-F,other,3737.3010362894142,3625.1607987903144,0.9699943257419695,1.0309338657574914,69.17939973254835,172.69620115649187,92.75387691791195,35.67045491380121,58.87517341576893,-0.9999999999999998,1.0
B-H,longest_baseline,3745.511858044666,3685.9314321875577,0.9840928481566169,1.0161642794916963,68.96421167012505,159.0824694641173,85.89635968594743,32.64395676711751,58.08548397524794,-1.0000000000000009,1.0
