case_id,source_kind,version,tag_method,point_estimator,ID,capture,location,height,facing,tag_truth_source,tag_truth_corrected,frames_input,frames_solved,solve_fraction,status,x_mm,y_mm,z_mm,mean_x_mm,mean_y_mm,mean_z_mm,median_x_mm,median_y_mm,median_z_mm,x_std_mm,y_std_mm,z_std_mm,d3_std_mm,radial_p50_mm,radial_p95_mm,anchors_used_median,anchors_input_median,pct_solved_ge7,pct_solved_ge8,residual_rms_median_mm,residual_rms_p95_mm,rejected_frames,rejected_anchor_counts,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,anchor_fit_det,anchor_fit_scale,anchor_similarity_scale_diagnostic,distance_to_array_centroid_mm,layout_json,source_tr_all,eval_set,method,tag_truth_permutation,tag_truth_shift_from_motive_mm,tag_ball_fingerprint_as_is_max_abs_dev_mm,tag_ball_fingerprint_corrected_max_abs_dev_mm,scale_bias_expected_mm,n_frames,pct_ge8
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,reconstructed_from_relabelled_balls,True,1201,1201,1.0,ok,1339.0175006523584,766.883498896531,129.23317363958907,1339.0175006523605,766.88349889653,129.2331736395892,1338.2708886435482,768.0498744509264,124.04344137981167,18.863717902137402,30.43723535111839,49.406015494446066,61.01819004156248,47.10326271116212,115.10885396703694,8.0,8.0,99.75020815986679,91.75686927560366,78.74739693565105,158.0672952855912,0,{},-477.75960506175466,54.884259695440775,-390.6586082768397,-542.215344349341,182.54280058407934,-383.3240609304319,64.45573928758631,-127.65854088863857,-7.33454734640776,64.87170347606107,127.65854088863857,143.19581339446415,-1.0000000000000009,1.0,0.9582672713308588,889.8367413746068,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,reconstructed_from_relabelled_balls,True,1201,1201,1.0,ok,1338.2708886435482,768.0498744509264,124.04344137981167,1339.0175006523605,766.88349889653,129.2331736395892,1338.2708886435482,768.0498744509264,124.04344137981167,18.863717902137402,30.43723535111839,49.406015494446066,61.254148417082796,45.772329786763436,118.33406101314749,8.0,8.0,99.75020815986679,91.75686927560366,78.74739693565105,158.0672952855912,0,{},-476.48470088543115,60.053145772380574,-391.37164293138017,-542.215344349341,182.54280058407934,-383.3240609304319,65.73064346390981,-122.48965481169877,-8.047582000948239,66.2214547276154,122.48965481169877,139.24437727294676,-1.0000000000000009,1.0,0.9582672713308588,889.8367413746068,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,motive_iantenna,False,1201,1201,1.0,ok,1507.0711126596432,716.4300848807673,-868.6103363257783,1507.0711126596457,716.4300848807665,-868.6103363257782,1507.4492647282254,717.289380331532,-867.8477056239907,23.8253863457244,30.066387240500998,42.12879262126046,56.977818876681845,44.96006872831148,101.46587991051516,8.0,8.0,99.91673605328893,95.67027477102414,58.30953828819703,132.23010623605535,0,{},-525.9174879484133,1054.6338893299153,-233.6212552803238,-543.22998,1105.589,-259.92136,17.312492051586673,-50.95511067008465,26.3001047196762,31.48678912341152,50.95511067008465,59.89859090748931,-1.0000000000000009,1.0,0.9582672713308588,461.6346339824702,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID02_BSF66F_120s_20260528_111027/tag_capture_20260528_111027/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,motive_iantenna,False,1201,1201,1.0,ok,1507.4492647282254,717.289380331532,-867.8477056239907,1507.0711126596457,716.4300848807665,-868.6103363257782,1507.4492647282254,717.289380331532,-867.8477056239907,23.8253863457244,30.066387240500998,42.12879262126046,56.990655700649285,44.913954132617896,102.14337321075959,8.0,8.0,99.91673605328893,95.67027477102414,58.30953828819703,132.23010623605535,0,{},-525.0926247394405,1053.8641589681488,-233.1852402546133,-543.22998,1105.589,-259.92136,18.137355260559502,-51.724841031851156,26.736119745386702,32.30764236039829,51.724841031851156,60.98559612447578,-1.0000000000000009,1.0,0.9582672713308588,461.6346339824702,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID02_BSF66F_120s_20260528_111027/tag_capture_20260528_111027/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,motive_iantenna,False,1201,1201,1.0,ok,1491.6191196295158,655.997150991632,-1798.1047385832587,1491.6191196295176,655.9971509916315,-1798.1047385832594,1494.2578766347724,660.4338010513858,-1799.8454579721092,27.4642153099748,40.350644366203284,37.683929102509865,61.6647073775872,42.9290938057622,115.56445253371017,8.0,8.0,100.0,92.2564529558701,138.93030107832072,190.04493940499322,0,{},-573.637673240774,1984.6266905026023,-259.8304349257189,-554.00287,1625.5614500000001,-256.2951,-19.634803240773977,359.06524050260214,-3.535334925718928,19.950541129024955,359.06524050260214,359.61906377239296,-1.0000000000000009,1.0,0.9582672713308588,813.3092827400905,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,motive_iantenna,False,1201,1201,1.0,ok,1494.2578766347724,660.4338010513858,-1799.8454579721092,1491.6191196295176,655.9971509916315,-1798.1047385832594,1494.2578766347724,660.4338010513858,-1799.8454579721092,27.4642153099748,40.350644366203284,37.683929102509865,61.90487171652706,41.54171393321507,114.79351858377325,8.0,8.0,100.0,92.2564529558701,138.93030107832072,190.04493940499322,0,{},-569.3497423196204,1986.3358848887833,-256.93745908035066,-554.00287,1625.5614500000001,-256.2951,-15.346872319620388,360.77443488878316,-0.6423590803506727,15.360309735901794,360.77443488878316,361.1012766309525,-1.0000000000000009,1.0,0.9582672713308588,813.3092827400905,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,motive_iantenna,False,1201,1201,1.0,ok,2201.2772177001657,1050.5786421743376,295.7328976143343,2201.2772177001684,1050.578642174339,295.73289761433443,2200.2518928559366,1053.5979702054535,297.5374740743314,19.202994385197638,24.000547588230326,49.768200638904894,58.494914930506,37.17644277021792,108.77067447501567,8.0,8.0,100.0,93.83846794338052,82.02120589592573,113.25980892709221,0,{},-249.58785147731044,-107.79935513595291,488.64145676241515,-321.178815,182.16379,479.93381999999997,71.59096352268955,-289.9631451359529,8.707636762415177,72.11857594332565,289.9631451359529,298.7971126587854,-1.0000000000000009,1.0,0.9582672713308588,1047.8906733259494,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID04_BSF66F_120s_20260528_111732/tag_capture_20260528_111732/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,motive_iantenna,False,1201,1201,1.0,ok,2200.2518928559366,1053.5979702054535,297.5374740743314,2201.2772177001684,1050.578642174339,295.73289761433443,2200.2518928559366,1053.5979702054535,297.5374740743314,19.202994385197638,24.000547588230326,49.768200638904894,58.6095487247836,36.79329216885304,109.2801216203365,8.0,8.0,100.0,93.83846794338052,82.02120589592573,113.25980892709221,0,{},-246.53417443902129,-109.64866591178946,487.81729949838655,-321.178815,182.16379,479.93381999999997,74.6446405609787,-291.81245591178947,7.883479498386578,75.0597869266839,291.81245591178947,301.3112693523912,-1.0000000000000009,1.0,0.9582672713308588,1047.8906733259494,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID04_BSF66F_120s_20260528_111732/tag_capture_20260528_111732/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,reconstructed_from_relabelled_balls,True,1200,1200,1.0,ok,2240.371048533441,1125.6909974465996,-902.2277853527289,2240.3710485334377,1125.6909974465968,-902.227785352729,2239.776406185031,1125.4226205393243,-902.1354478252645,19.34360598422988,26.04213844210632,41.052113373058866,52.322500700037686,41.11209030589732,92.95284518535465,8.0,8.0,99.75,91.5,158.09525761025736,220.2011700319924,0,{},-162.00985555089528,1089.4553455146643,523.156205178047,-184.9818897969324,1103.5866165595767,473.70402893394925,22.97203424603711,-14.13127104491241,49.45217624409776,54.527351784938254,14.13127104491241,56.328721927833485,-1.0000000000000009,1.0,0.9582672713308588,705.9514108073571,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID05_BSF66F_120s_20260528_112057/tag_capture_20260528_112057/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,reconstructed_from_relabelled_balls,True,1200,1200,1.0,ok,2239.776406185031,1125.4226205393243,-902.1354478252645,2240.3710485334377,1125.6909974465968,-902.227785352729,2239.776406185031,1125.4226205393243,-902.1354478252645,19.34360598422988,26.04213844210632,41.052113373058866,52.32664934248417,41.03273522226636,92.84619322370877,8.0,8.0,99.75,91.5,158.09525761025736,220.2011700319924,0,{},-162.24239483282292,1089.3612741692455,522.5469203758475,-184.9818897969324,1103.5866165595767,473.70402893394925,22.73949496410947,-14.225342390331207,48.8428914418983,53.87682874509062,14.225342390331207,55.72318226510378,-1.0000000000000009,1.0,0.9582672713308588,705.9514108073571,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID05_BSF66F_120s_20260528_112057/tag_capture_20260528_112057/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,motive_iantenna,False,1201,1201,1.0,ok,2214.562607886813,1091.5933187703556,-1671.1105227991197,2214.5626078868136,1091.5933187703558,-1671.1105227991172,2212.308299360431,1086.0689956687015,-1680.213860711531,31.355903298826956,40.323696983652596,51.96380173557661,72.86583493605995,49.21143695240762,149.0103607946595,8.0,8.0,99.83347210657784,92.83930058284763,97.35324730228652,178.5470379072894,0,{},-184.82375666728626,1858.4500448801082,489.45057498845745,-193.231255,1684.95255,476.52297999999996,8.407498332713743,173.4974948801082,12.927594988457486,15.421048615453342,173.4974948801082,174.18148429173908,-1.0000000000000009,1.0,0.9582672713308588,1013.9317064581626,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID06_BSF66F_120s_20260528_112429/tag_capture_20260528_112429/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,motive_iantenna,False,1201,1201,1.0,ok,2212.308299360431,1086.0689956687015,-1680.213860711531,2214.5626078868136,1091.5933187703558,-1671.1105227991172,2212.308299360431,1086.0689956687015,-1680.213860711531,31.355903298826956,40.323696983652596,51.96380173557661,73.67428801651437,46.80052231987485,153.7321946546037,8.0,8.0,99.83347210657784,92.83930058284763,97.35324730228652,178.5470379072894,0,{},-190.0849288161745,1867.600053402597,486.79196153982093,-193.231255,1684.95255,476.52297999999996,3.1463261838254937,182.64750340259707,10.26898153982097,10.740174594493785,182.64750340259707,182.9630067787527,-1.0000000000000009,1.0,0.9582672713308588,1013.9317064581626,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID06_BSF66F_120s_20260528_112429/tag_capture_20260528_112429/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,motive_iantenna,False,1201,1201,1.0,ok,1767.346486716009,1616.5718755050193,140.61405486025697,1767.3464867160071,1616.5718755050211,140.614054860257,1766.7812902563821,1614.7259587199178,142.9212960165814,18.48248419104108,26.93316149747321,71.41618425630158,78.5319602700141,63.27361685878106,142.1924856304352,8.0,8.0,100.0,90.84096586178185,79.19084566950451,185.32176616907913,0,{},343.85129671441837,36.858422827061446,89.1290295286592,352.14755,211.565355,53.795866000000004,-8.296253285581656,-174.70693217293856,35.3331635286592,36.29408028207213,174.70693217293856,178.43702646256256,-1.0000000000000009,1.0,0.9582672713308588,906.6934696461826,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID07_BSF66F_120s_20260528_112810/tag_capture_20260528_112810/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,motive_iantenna,False,1201,1201,1.0,ok,1766.7812902563821,1614.7259587199178,142.9212960165814,1767.3464867160071,1616.5718755050211,140.614054860257,1766.7812902563821,1614.7259587199178,142.9212960165814,18.48248419104108,26.93316149747321,71.41618425630158,78.58956038444298,62.877555591244025,142.0431693860972,8.0,8.0,100.0,90.84096586178185,79.19084566950451,185.32176616907913,0,{},342.01475242220613,34.56892459499389,88.46908977608018,352.14755,211.565355,53.795866000000004,-10.132797577793895,-176.99643040500612,34.67322377608018,36.123483134640786,176.99643040500612,180.6450730296646,-1.0000000000000009,1.0,0.9582672713308588,906.6934696461826,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID07_BSF66F_120s_20260528_112810/tag_capture_20260528_112810/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,motive_iantenna,False,1201,1201,1.0,ok,1584.3572253641603,1708.1238764568102,-953.3848066726205,1584.3572253641603,1708.1238764568118,-953.3848066726216,1586.5852237334188,1702.6405390870134,-953.5815481370845,29.688958953507864,46.408171199230836,66.84921354838758,86.62545809309246,63.75775250096114,149.65498914595142,8.0,8.0,100.0,90.25811823480433,124.50754035573975,163.68795431553994,0,{},460.15400634665843,1128.1066022805576,-96.21238045635755,391.90054,1132.2804,-71.53192899999999,68.25346634665846,-4.173797719442518,-24.68045145635756,72.57864942546162,4.173797719442518,72.69856215790574,-1.0000000000000009,1.0,0.9582672713308588,557.6228692802323,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID08_BSF66F_120s_20260528_113136/tag_capture_20260528_113136/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,motive_iantenna,False,1201,1201,1.0,ok,1586.5852237334188,1702.6405390870134,-953.5815481370845,1584.3572253641603,1708.1238764568118,-953.3848066726216,1586.5852237334188,1702.6405390870134,-953.5815481370845,29.688958953507864,46.408171199230836,66.84921354838758,86.82764342354574,63.038532268356285,148.5816267721808,8.0,8.0,100.0,90.25811823480433,124.50754035573975,163.68795431553994,0,{},454.54724787868713,1128.3879772136434,-94.32697326502307,391.90054,1132.2804,-71.53192899999999,62.64670787868715,-3.8924227863567467,-22.79504426502308,66.66501369595542,3.8924227863567467,66.77855199260968,-1.0000000000000009,1.0,0.9582672713308588,557.6228692802323,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID08_BSF66F_120s_20260528_113136/tag_capture_20260528_113136/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,motive_iantenna,False,1201,1201,1.0,ok,1615.9897229362373,1698.2488643405925,-1385.536776847777,1615.9897229362355,1698.2488643405932,-1385.5367768477768,1616.4808487473795,1698.915268493618,-1384.585810526248,28.35034896538951,33.231772370252095,39.15642873084668,58.66275558036365,45.455120025938044,101.40451097483032,8.0,8.0,99.91673605328893,93.42214820982515,133.39019810691815,214.55362127072925,0,{},453.77327490826747,1560.5956537250427,-68.53634858448436,408.80994,1568.1853500000002,-62.425788499999996,44.963334908267484,-7.589696274957532,-6.110560084484362,45.37665072059769,7.589696274957532,46.006998599835036,-1.0000000000000009,1.0,0.9582672713308588,828.1828777899989,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID09_BSF66F_120s_20260528_113816/tag_capture_20260528_113816/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,motive_iantenna,False,1201,1201,1.0,ok,1616.4808487473795,1698.915268493618,-1384.585810526248,1615.9897229362355,1698.2488643405932,-1385.5367768477768,1616.4808487473795,1698.915268493618,-1384.585810526248,28.35034896538951,33.231772370252095,39.15642873084668,58.67630295343862,45.56257293671986,101.34166278839503,8.0,8.0,99.91673605328893,93.42214820982515,133.39019810691815,214.55362127072925,0,{},454.39633675298114,1559.6408753868945,-67.99799157943403,408.80994,1568.1853500000002,-62.425788499999996,45.58639675298116,-8.544474613105649,-5.572203079434033,45.925690153536785,8.544474613105649,46.71377807984142,-1.0000000000000009,1.0,0.9582672713308588,828.1828777899989,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID09_BSF66F_120s_20260528_113816/tag_capture_20260528_113816/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,motive_iantenna,False,1201,1201,1.0,ok,703.3502829403252,1299.539729684432,44.51667437921394,703.350282940325,1299.5397296844324,44.516674379213946,705.354555321951,1300.7448631623613,43.55526029726846,23.104414403573934,21.081635755313343,36.89004877997629,48.364501755324746,35.43961544485828,89.18580595217732,8.0,8.0,99.91673605328893,90.75770191507078,62.08884516074395,120.5788293122511,0,{},93.89790163003636,127.86088007515654,-993.0326324833491,65.499245,238.64973,-938.19342,28.398656630036356,-110.78884992484346,-54.839212483349115,61.75615697389712,110.78884992484346,126.83844918578163,-1.0000000000000009,1.0,0.9582672713308588,1028.888366883956,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID10_BSF66F_120s_20260528_114216/tag_capture_20260528_114216/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,motive_iantenna,False,1201,1201,1.0,ok,705.354555321951,1300.7448631623613,43.55526029726846,703.350282940325,1299.5397296844324,44.516674379213946,705.354555321951,1300.7448631623613,43.55526029726846,23.104414403573934,21.081635755313343,36.89004877997629,48.43055648613949,35.08187097527215,89.38492235596907,8.0,8.0,99.91673605328893,90.75770191507078,62.08884516074395,120.5788293122511,0,{},94.98980002466897,128.82444974794936,-990.9654936641571,65.499245,238.64973,-938.19342,29.490555024668964,-109.82528025205065,-52.77207366415712,60.45316033490932,109.82528025205065,125.36417660926793,-1.0000000000000009,1.0,0.9582672713308588,1028.888366883956,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID10_BSF66F_120s_20260528_114216/tag_capture_20260528_114216/tr_all.csv,,,,,,,,,
production_style_T1_mean,production_style_probe,v4-io,T1,mean,ID11,static_ID11_BSF66F_120s_20260528_114551,edge,mid,ADHE,motive_iantenna,False,1201,1201,1.0,ok,705.7250140968208,1091.1654676115872,-971.8269565759407,705.7250140968212,1091.165467611588,-971.82695657594,705.8178006929961,1089.9888418540945,-970.3074965498914,20.44666573462589,24.499804444899944,33.39684123270897,46.191509629201704,34.17605985496261,82.23534410414292,8.0,8.0,100.0,91.84013322231473,73.55611208831407,167.36569082511113,0,{},-101.47855609088515,1146.623813644336,-1011.1978073936231,-63.9057945,1133.4998500000002,-956.9902950000001,-37.57276159088515,13.123963644335845,-54.207512393623006,65.95579438889571,13.123963644335845,67.24883073487699,-1.0000000000000009,1.0,0.9582672713308588,772.412567618685,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID11_BSF66F_120s_20260528_114551/tag_capture_20260528_114551/tr_all.csv,,,,,,,,,
production_style_T1_median,production_style_probe,v4-io,T1,median,ID11,static_ID11_BSF66F_120s_20260528_114551,edge,mid,ADHE,motive_iantenna,False,1201,1201,1.0,ok,705.8178006929961,1089.9888418540945,-970.3074965498914,705.7250140968212,1091.165467611588,-971.82695657594,705.8178006929961,1089.9888418540945,-970.3074965498914,20.44666573462589,24.499804444899944,33.39684123270897,46.231562574944626,34.054130381237954,83.36754944451319,8.0,8.0,100.0,91.84013322231473,73.55611208831407,167.36569082511113,0,{},-102.67760380953541,1145.1194588343383,-1011.1659095814117,-63.9057945,1133.4998500000002,-956.9902950000001,-38.77180930953541,11.619608834338123,-54.17561458141165,66.62019522943955,11.619608834338123,67.62592492433407,-1.0000000000000009,1.0,0.9582672713308588,772.412567618685,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID11_BSF66F_120s_20260528_114551/tag_capture_20260528_114551/tr_all.csv,,,,,,,,,
