anchor,truth_y_vertical_mm,aligned_y_vertical_mm,vertical_residual_mm,err_3d_mm
A,248.27529,182.1339757625705,-66.14131423742953,185.3559282712514
B,270.326525,206.0804353848789,-64.2460896151211,84.10555875321604
C,222.394635,180.5572608940952,-41.837374105904786,101.68135929028372
D,240.904055,187.86207452863547,-53.041980471364525,94.6806015466771
E,1647.9726,1667.6270247457314,19.654424745731376,50.024470284034166
F,1660.0999,1737.6784284114665,77.57852841146655,81.2129173575459
G,1624.5165,1667.2273507820814,42.71085078208148,104.01468093597528
H,1630.318,1715.6409544905414,85.3229544905414,90.8610964473538
