height,median_abs_dz_mm,abs_median_signed_dz_mm,passes_median_abs_ge_abs_median
low,115.54784174009808,115.54784174009808,True
mid,37.3950187664891,37.3950187664891,True
high,63.959437468430906,63.959437468430906,True
