height,n_official,official_signed_vertical_median_mm,official_abs_vertical_median_mm,official_err_vertical_column_median_mm,revision2_dop_abs_vertical_median_mm,difference_official_abs_minus_dop_abs_mm
low,8,-115.54784174009808,115.54784174009808,115.54784174009808,112.64707984843483,2.900761891663251
mid,8,-37.3950187664891,37.3950187664891,37.3950187664891,33.25135941415647,4.143659352332634
high,8,63.959437468430906,63.959437468430906,63.959437468430906,62.63825959473343,1.3211778736974793
