ID,height,facing,truth_y_vertical_mm,err_y_vertical_mm,err_vertical_mm,vertical_fit_pred_mm,vertical_fit_residual_mm
ID01,low,ABEF,182.54280058407932,-124.44853059982896,124.44853059982896,-129.5526000815907,5.104069481761741
ID02,mid,ABEF,1105.589,-52.307645692521874,52.307645692521874,-10.172768859341033,-42.13487683318084
ID03,high,ABEF,1625.56145,171.80574819923368,171.80574819923368,57.07654472918637,114.72920347004731
ID04,low,BCGF,182.16379,-268.8580541337082,268.8580541337082,-129.60161845097184,-139.25643568273637
ID05,mid,BCGF,1103.586616559577,-22.48239184045633,22.48239184045633,-10.431742025918396,-12.050649814537934
ID06,high,BCGF,1684.95255,135.2845719367283,135.2845719367283,64.75774150849188,70.52683042823642
ID07,low,CDHG,211.565355,-159.6061129147213,159.6061129147213,-125.7990418631575,-33.80707105156381
ID08,mid,CDHG,1132.2804,-6.089525915362628,6.089525915362628,-6.720704564940775,0.6311786495781462
ID09,high,CDHG,1568.1853500000002,-7.097455393711243,7.097455393711243,49.655952847084365,-56.75340824079561
ID10,low,ADHE,238.64973,-106.8453076263593,106.8453076263593,-122.29615314717981,15.450845520820508
ID11,mid,ADHE,1133.4998500000002,15.912510332204649,15.912510332204649,-6.562990102461953,22.4755004346666
ID12,high,ADHE,1590.1300500000002,100.79662094767856,100.79662094767856,52.494114776444604,48.30250617123396
ID13,mid,ABEF,1139.0976,-70.06438142690354,70.06438142690354,-5.839019351434331,-64.2253620754692
ID14,mid,BCGF,1132.6278,-53.67575520390369,53.67575520390369,-6.67577447000852,-46.99998073389517
ID15,mid,CDHG,1132.2551,-71.09717589289039,71.09717589289039,-6.7239766760570205,-64.37319921683337
ID16,mid,ADHE,1122.0572,-0.7284899741646313,0.7284899741646313,-8.04289612081692,7.3144061466522885
ID17,low,ABEF,209.458655,-43.84820087065435,43.84820087065435,-126.0715065465017,82.22330567584734
ID18,low,BCGF,206.90585,-23.23370925121688,23.23370925121688,-126.40166708476744,103.16795783355056
ID19,low,CDHG,205.96057,-124.25037585383684,124.25037585383684,-126.52392246800738,2.2735466141705416
ID20,low,ADHE,202.56013,-84.45375904916719,84.45375904916719,-126.96370972192626,42.509950672759075
ID21,high,ABEF,1598.6443,43.95649960476021,43.95649960476021,53.595283633027464,-9.638784028267253
ID22,high,BCGF,1599.3212,-4.612623767232435,4.612623767232435,53.682828771944145,-58.29545253917658
ID23,high,CDHG,1599.6642499999998,83.9623753321016,83.9623753321016,53.72719627069628,30.23517906140532
ID24,high,ADHE,1599.5815,36.30723406575476,36.30723406575476,53.71649401002952,-17.40925994427476
