height,n,truth_y_median_mm,signed_vertical_median_mm,linear_fit_predicted_median_mm,median_residual_from_fit_mm
low,8,206.43320999999997,-115.54784174009808,-126.46279477638741,10.277457501291124
mid,8,1132.26775,-37.3950187664891,-6.722340620498898,-27.092763323859387
high,8,1599.45135,63.959437468430906,53.69966139098683,10.298197516569033
