A	760186071	A	matrix	/dev/serial/by-id/usb-SEGGER_J-Link_000760186071-if00
B	760185876	B	master	/dev/serial/by-id/usb-SEGGER_J-Link_000760185876-if00
C	760185878	C	matrix	/dev/serial/by-id/usb-SEGGER_J-Link_000760185878-if00
D	760186081	D	matrix	/dev/serial/by-id/usb-SEGGER_J-Link_000760186081-if00
E	760185904	E	matrix	/dev/serial/by-id/usb-SEGGER_J-Link_000760185904-if00
F	760186124	F	matrix	/dev/serial/by-id/usb-SEGGER_J-Link_000760186124-if00
G	760185889	G	matrix	/dev/serial/by-id/usb-SEGGER_J-Link_000760185889-if00
H	760186121	H	matrix	/dev/serial/by-id/usb-SEGGER_J-Link_000760186121-if00
