listener,src,n,windows,max_drift_sigma,time_to_1sigma_h,median_drift_sigma,cfo_drift_ppm_per_h
L9336,0xb136,16114,21,0.298,inf,0.163,-0.0472
L9336,0xb15a,17081,21,0.494,inf,0.218,-0.0438
L9336,0xb1f4,16209,21,0.475,inf,0.243,-0.0276
L955A,0xb136,16324,21,0.484,inf,0.244,-0.0193
L955A,0xb15a,17022,21,0.421,inf,0.174,-0.0174
L955A,0xb1f4,16448,21,0.435,inf,0.215,0.0083
LB,0xb136,16432,21,0.463,inf,0.241,-0.0025
LB,0xb15a,17107,21,0.63,inf,0.157,0.0139
LB,0xb1f4,16189,21,0.843,inf,0.26,0.0398
LE,0xb136,16277,21,0.817,inf,0.496,0.043
LE,0xb15a,17000,21,0.732,inf,0.462,-0.0177
LE,0xb1f4,16405,21,0.691,inf,0.534,0.0082
LF,0xb136,16105,21,0.326,inf,0.222,-0.0115
LF,0xb15a,17036,21,0.64,inf,0.305,-0.0135
LF,0xb1f4,16203,21,0.55,inf,0.223,-0.0084
