mode,status,position_rms_m,position_p95_m,published_rms_m,candidate_rms_m,candidate_p95_m,velocity_rms_mps,velocity_p95_mps,stationary_fraction
B0,CANONICAL_T4,0.0855685072764,0.152568205393,,,,,,
S1,HISTORICAL_COMPARISON,0.0215357941879,0.0429355430758,,,,0.00127202468044,0.00290251121363,0.998199639928
S2P,PASS,0.0,0.0,0.0,0.0323734137162,0.0565237269996,0.0,0.0,0.998199639928
S2R,PASS,0.0,0.0,0.0,0.0323734137162,0.0565237269996,0.0,0.0,0.998199639928
