case_id,case_label,median_pair_n_samples,pair_analytical_se_median_mm,pair_analytical_se_p95_mm,bootstrap_pairwise_distance_sd_median_mm,bootstrap_coordinate_sd_median_mm,pairwise_sd_over_median_se,coordinate_sd_over_median_se,pairwise_sd_over_p95_se,coordinate_sd_over_p95_se,comparison_applicable,sampling_se_confirmed,interpretation
original_selfcal,FULL original self-cal v4-io/T4,2000.0,0.6645502407800865,0.8574019436725167,0.7612639059834918,1.0241004012684147,1.1455325109654273,1.5410428563930214,0.8878728484364801,1.1944227661554827,True,True,"within-campaign median sampling SE, NOT independent deployment repeatability"
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,2000.0,0.6645502407800865,0.8574019436725167,9.56565042714219e-12,1.1492479637274261e-11,nan,nan,nan,nan,False,False,fixed truth coordinates; no layout bootstrap to interpret
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,2000.0,0.6645502407800865,0.8574019436725167,0.6983588591998044,0.9677967647545992,1.0508744355882431,1.4563184321753384,0.8145058036707012,1.1287550394500245,True,True,"within-campaign median sampling SE, NOT independent deployment repeatability"
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,2000.0,0.6645502407800865,0.8574019436725167,1.2351575623856466,1.1956215276954987,1.8586368442749326,1.7991439237039637,1.4405817149131785,1.3944702791018684,True,True,"within-campaign median sampling SE, NOT independent deployment repeatability"
