host_elapsed_s,host_epoch_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
72.365,1777924231.407078,13689636,24554,H,7,0xa107,0xb101,0xe1,15956,7,1812,122,6056,20
73.665,1777924232.707129,13690936,24555,H,7,0xa107,0xb101,0xe1,14917,7,1694,122,6630,20
76.364,1777924235.406662,13693636,24556,H,7,0xa107,0xb101,0xe1,15277,7,1623,118,5794,20
77.564,1777924236.606740,13694836,24557,H,7,0xa107,0xb101,0xe1,15792,7,1735,120,6472,20
78.664,1777924237.706787,13695936,24558,H,7,0xa107,0xb101,0xe1,15488,7,1817,124,6615,20
80.664,1777924239.706514,13697936,24559,H,7,0xa107,0xb101,0xe1,16077,7,1737,119,4352,20
80.867,1777924239.909954,13698140,24560,H,7,0xa107,0xb101,0xe1,15802,7,1824,123,5917,20
105.819,1777924264.861634,13723093,24561,H,7,0xa107,0xb101,0xe1,15707,7,1697,119,3725,20
106.819,1777924265.861489,13724093,24562,H,7,0xa107,0xb101,0xe1,15424,7,1723,121,6432,20
107.919,1777924266.961349,13725193,24563,H,7,0xa107,0xb101,0xe1,15096,7,1631,119,3975,20
110.519,1777924269.561035,13727793,24564,H,7,0xa107,0xb101,0xe1,15151,7,1637,119,5912,20
111.819,1777924270.861280,13729093,24565,H,7,0xa107,0xb101,0xe1,15736,7,1846,124,6617,20
114.519,1777924273.561067,13731793,24566,H,7,0xa107,0xb101,0xe1,14939,7,1587,118,5469,20
115.519,1777924274.561128,13732793,24567,H,7,0xa107,0xb101,0xe1,14407,7,1636,122,5361,20
116.418,1777924275.460609,13733693,24568,H,7,0xa107,0xb101,0xe1,15079,7,1769,124,5408,20
117.531,1777924276.573928,13734793,24569,H,7,0xa107,0xb101,0xe1,15712,7,1641,117,5826,20
119.718,1777924278.760495,13736993,24570,H,7,0xa107,0xb101,0xe1,15173,7,1667,120,6146,20
121.218,1777924280.260401,13738493,24571,H,7,0xa107,0xb101,0xe1,14948,7,1615,119,6509,20
122.231,1777924281.273540,13739493,24572,H,7,0xa107,0xb101,0xe1,15534,7,1764,122,5827,20
124.418,1777924283.460362,13741694,24573,H,7,0xa107,0xb101,0xe1,15471,7,1815,124,6032,20
125.218,1777924284.260042,13742493,24574,H,7,0xa107,0xb101,0xe1,15129,7,1690,121,6136,20
126.418,1777924285.459972,13743693,24575,H,7,0xa107,0xb101,0xe1,15746,7,1730,120,4465,20
128.917,1777924287.959870,13746193,24576,H,7,0xa107,0xb101,0xe1,15612,7,1744,121,5579,20
130.317,1777924289.359849,13747593,24577,H,7,0xa107,0xb101,0xe1,14891,7,1582,118,6374,20
131.417,1777924290.459655,13748693,24578,H,7,0xa107,0xb101,0xe1,16265,7,1787,120,5969,20
133.417,1777924292.459756,13750694,24579,H,7,0xa107,0xb101,0xe1,15358,7,1604,117,6083,20
134.417,1777924293.459597,13751694,24580,H,7,0xa107,0xb101,0xe1,15428,7,1639,118,6017,20
