capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R14,BS2DCE,1201,1201,0.00028254943540929005,0.0004783709758182858,0.0007506364791630065,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R14,BSDC91,1200,1200,0.00023481556077908005,0.0004194679276734677,0.0007314289693956204,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R15,BS2DCE,1200,1200,0.0003151833528951996,0.0004291581167106543,0.0006896381243055471,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R15,BSDC91,1200,1200,0.0004090697256566289,0.0006793132642996449,0.0019021673615937176,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R16,BS2DCE,1201,1201,0.00029722793381700886,0.00046038668604649443,0.0006608923759085967,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R16,BSDC91,1200,1200,0.00028910707944887964,0.0004609873537113079,0.0006920278239772014,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R17,BS2DCE,1201,1201,0.000279205631694136,0.00040250851839585385,0.0006199790228002693,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R17,BSDC91,1200,1200,0.00032260589749119747,0.0005326561639097657,0.0008035329869855749,1.0,1.0,R2:L12:I1+I3+I7:T6,R2,L12,I1+I3+I7,T6,54.38468749999999,1.0,False
R01,BS2DCE,1201,1201,0.0004925018215304753,0.0008103813542385628,0.0010564490381834762,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R01,BSDC91,1200,1200,0.00045899921117842395,0.000816495365512995,0.0011863308050712314,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R02,BS2DCE,1201,1201,0.0004249427853849893,0.0007304424639679025,0.0010549151279891477,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R02,BSDC91,1200,1200,0.00041517865083177827,0.0007587643362148916,0.0012965227456288727,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R03,BS2DCE,1200,1200,0.00039327490618094993,0.0006642903198596775,0.0009655581220453854,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R03,BSDC91,1200,1200,0.0004839892038207795,0.0008939874388916708,0.0013204217643764855,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R04,BS2DCE,1200,1200,0.000422745208115603,0.0007103505531869827,0.0009820383151906045,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R04,BSDC91,1200,1200,0.0005018849026724414,0.0009123124519366841,0.0014750875618757212,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R05,BS2DCE,1200,1200,0.00038544384431188344,0.0006677701558469357,0.0012566024001462637,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R05,BSDC91,1201,1201,0.0003722988858364859,0.0006448475590829391,0.0009177097036633534,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R06,BS2DCE,1200,1200,0.0004430054780607168,0.0008353460717731459,0.0012814458784136005,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R06,BSDC91,1201,1201,0.00041228152109256674,0.0007976856367534826,0.0012274390553435827,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
R07,BS2DCE,1200,1200,0.00041932104909077236,0.0006612413084862387,0.0009858555622953625,1.0,1.0,R2:L12:I1+I3+I7:T8,R2,L12,I1+I3+I7,T8,79.48531249999999,1.0,True
