cycle,timestamp,phase,prefix,state,attempts,target,ok,timeout,latest_mm,latest_ant_center_mm,median_mm,median_ant_center_mm,mean_mm,mean_ant_center_mm,min_mm,min_ant_center_mm,max_mm,max_ant_center_mm,ant_center_offset_mm,echo_us,trig,echo,raw
1,,before,US,IDLE,,,,,,,,,,,,,,,122,,P0.06,P0.07,US;IDLE;enabled=1;trig=P0.06;echo=P0.07;period_ms=100
1,,on,OK USON duration_s=30,,,,,,,,,,,,,,,,122,,,,OK USON duration_s=30
1,2026-05-28T14:44:54,poll,US,RUNNING,41,300,41,0,1539,1661,1539,1661,1539,1661,,,,,122,,,,US;RUNNING;attempts=41;target=300;ok=41;timeout=0;latest_mm=1539;median_mm=1539;mean_mm=1539;echo_us
1,2026-05-28T14:45:00,poll,US,RUNNING,96,300,96,0,1539,1661,1539,1661,1539,1661,,,,,122,,,,US;RUNNING;attempts=96;target=300;ok=96;timeout=0;latest_mm=1539;median_mm=1539;mean_mm=1539;echo_us
1,2026-05-28T14:45:06,poll,US,RUNNING,151,300,151,0,1539,1661,1539,1661,1533,1655,,,,,122,,,,US;RUNNING;attempts=151;target=300;ok=151;timeout=0;latest_mm=1539;median_mm=1539;mean_mm=1533;echo_
1,2026-05-28T14:45:12,poll,US,RUNNING,206,300,206,0,1539,1661,1539,1661,1535,1657,,,,,122,,,,US;RUNNING;attempts=206;target=300;ok=206;timeout=0;latest_mm=1539;median_mm=1539;mean_mm=1535;echo_
1,2026-05-28T14:45:18,poll,US,RUNNING,260,300,260,0,769,891,1539,1661,1533,1655,,,,,122,,,,US;RUNNING;attempts=260;target=300;ok=260;timeout=0;latest_mm=769;median_mm=1539;mean_mm=1533;echo_u
1,2026-05-28T14:45:24,poll,US,DONE,300,300,300,0,1539,1661,1539,1661,1534,1656,,,,,122,,,,US;DONE;attempts=300;target=300;ok=300;timeout=0;latest_mm=1539;median_mm=1539;mean_mm=1534;echo_us=
1,,off,OK USOFF,,,,,,,,,,,,,,,,122,,,,OK USOFF
